인허가등록번호,등록일자,공연장명칭,공연장소재지(지번),전화번호,객석수,상태구분,영업상태,폐업일자,휴업시작일자,휴업종료일자
23000-1984-000001,19840912,남도극장,서울특별시 영등포구 당산동1가  6번지 0호  ,2634-2712,,,,,,
23000-1988-000001,19881219,미산소극장,서울특별시 영등포구 영등포동3가  13번지 0호  ,2635-0819,,,,,,
23000-1989-000001,19890307,푸른소극장,서울특별시 영등포구 영등포동5가  24번지 0호  ,677-9195,,,,,,
23000-1989-000002,19890807,경원극장 2관,서울특별시 영등포구 영등포동2가  175번지 0호  ,2634-3212,,,,,,
23000-1990-000001,19900629,드라마소극장,서울특별시 영등포구 영등포동3가  23번지 1호  ,678-5970,,,,,,
23000-1991-000001,19911014,KBS홀,서울특별시 영등포구 여의도동  18번지 0호  ,781-2280,1661,1,영업중,,,
23000-1998-000001,19980413,연흥극장,서울특별시 영등포구 영등포동3가  2번지 0호  ,678-1014,,,,,,
23000-2001-000001,20011022,경원극장3관,서울특별시 영등포구 영등포동2가  175번지 0호  ,2634-3212,,,,,,
23000-2002-000001,20021230,썬프라자아트홀,서울특별시 영등포구 대림동  909번지 2호  2층,831-3100,,1,영업중,,,
23000-2002-000002,20021230,괜찮은 홀,서울특별시 영등포구 당산동5가  16번지 7호  2001아울렛 7층,2676-2516,,6,기타,,,
23000-2006-000001,20060313,영산아트홀,서울특별시 영등포구 여의도동  12번지  ,6181-5260,598,1,영업중,,,
23000-2009-000001,20090114,63아트홀,서울특별시 영등포구 여의도동  60번지  ,789-5869,451,3,폐업,20150803,,
23000-2009-000002,20090209,영등포아트홀,서울특별시 영등포구 당산동3가  3번지  ,2670-4020,526,1,영업중,,,
23000-2009-000003,20090918,CGV신한카드아트홀,서울특별시 영등포구 영등포동4가  442번지  ,2638-2871,513,3,폐업,20151214,,
23000-2011-000001,20111004,TCC아트홀,서울특별시 영등포구 당산동4가  93번지 1호  TCC Center,2633-3311,150,1,영업중,,,
23000-2012-000001,20120229,아리수 아트홀,서울특별시 영등포구 여의도동  86번지  파라다이스,447-3333,320,3,폐업,20180905,,
23000-2014-000001,20141030,KBS아트홀,서울특별시 영등포구 여의도동  18번지  ,781-2280,372,1,영업중,,,
23000-2016-000001,20160602,키즈앤키즈 소극장,서울특별시 영등포구 영등포동4가  442번지  ,02-6925-6956,150,1,영업중,,,
23000-2018-000001,20180724,푸른극장,서울특별시 영등포구 영등포동5가  24번지  동남상가아파트,02-2634-3346,70,1,영업중,,,
23000-2018-000002,20180914,창작플랫폼 경험과 상상,서울특별시 영등포구 당산동5가  7번지 2호  유원제일2차아파트상가내,02-6949-2016,50,1,영업중,,,
23000-1989-000001,19891222,김길동 가무단,서울특별시 동작구 신대방동  605번지 55호  ,,,1,영업중,,,
23000-1990-000001,19900105,중대 극장,서울특별시 동작구 흑석동  164번지 3호  ,,,1,영업중,,,
23000-1990-000002,19900209,전설,서울특별시 동작구 흑석동  252번지 52호  ,,,1,영업중,,,
23000-1990-000003,19900501,윤호문,서울특별시 동작구 사당동  73번지 23호  ,,,1,영업중,,,
23000-1990-000004,19900801,곽종목,서울특별시 동작구 사당동  224번지 16호  ,,,1,영업중,,,
23000-1990-000005,19900913,조은빛 기획,서울특별시 동작구 신대방동  607번지 58호  ,,,1,영업중,,,
23000-1990-000006,19901018,우리 민족 예술단,서울특별시 동작구 흑석동  79번지 17호  ,,,1,영업중,,,
23000-1990-000007,19901020,황무봉 예술단,서울특별시 동작구 사당동  58번지 107호  ,,,1,영업중,,,
23000-1990-000008,19901101,아세아나 가무단,서울특별시 동작구 노량진동  249번지 22호  ,,,1,영업중,,,
23000-1991-000001,19910315,이화밴드 가무단,서울특별시 동작구 신대방동  359번지 1호  ,,,1,영업중,,,
23000-1991-000002,19910605,죠커스 악단,서울특별시 동작구 상도동  36번지 10호  ,,,1,영업중,,,
23000-1991-000003,19910709,푸른 버들 민속 가무단,서울특별시 동작구 사당동  169번지 3호  ,,,1,영업중,,,
23000-1991-000004,19910709,백무현 가무단,서울특별시 동작구 대방동  86번지 12호  ,,,1,영업중,,,
23000-1991-000005,19911105,미래 악회,서울특별시 동작구 상도동  214번지 1호  상도 빌라  A동 202호,,,1,영업중,,,
23000-1991-000006,19911119,이양순 피아노 리싸이틀,서울특별시 동작구 사당동  130번지 22호  ,,,1,영업중,,,
23000-1992-000002,19920123,설진히 독창회,서울특별시 동작구 흑석동  143번지 1호  ,,,1,영업중,,,
23000-1992-000003,19920313,한국 음악 예술 연구회,서울특별시 동작구 신대방동  591번지 13호  ,,,1,영업중,,,
23000-1992-000004,19920313,임은경 귀국 피아노 독주회,서울특별시 동작구 상도1동  1번지 1호  관악 현대 아파트,,,1,영업중,,,
23000-1992-000005,19920327,일호 극장,서울특별시 동작구 노량진동  41번지 11호  ,,,1,영업중,,,
23000-1992-000006,19920327,일미일 소극장,서울특별시 동작구 노량진동  151번지 10호  ,,,1,영업중,,,
23000-1992-000007,19920416,천사의 눈,서울특별시 동작구 대방동  13번지 22호  ,,,1,영업중,,,
23000-1992-000008,19920511,중앙 무대,서울특별시 동작구 상도동  1번지 1호  대림 아파트 2-308,,,1,영업중,,,
23000-1992-000009,19920511,극단 이지,서울특별시 동작구 신대방동  618번지 155호  ,,,1,영업중,,,
23000-1992-000010,19920511,기음회,서울특별시 동작구 상도1동  246번지 2호  ,,,1,영업중,,,
23000-1992-000011,19921006,음악 예술 학회,서울특별시 동작구 상도동  262번지 2호  ,,,1,영업중,,,
23000-1992-000012,19921022,대한 청소년 문학 협회,서울특별시 동작구 상도동  산 65번지  ,,,1,영업중,,,
23000-1992-000013,19921022,극단 교주,서울특별시 동작구 사당동  262번지 8호  문경 빌라 2층,,,1,영업중,,,
23000-1992-000014,19921031,총신 대학,서울특별시 동작구 사당동  산 31번지 3호  ,,,1,영업중,,,
23000-1993-000001,19930128,한양 발레 아카데미,서울특별시 동작구 흑석동  28번지  한강 아파트 상가 3층,,,1,영업중,,,
23000-1993-000002,19930203,서울 초등 교사 풍물 연구회[훈장],서울특별시 동작구 사당동  141번지 234호  ,,,1,영업중,,,
23000-1993-000003,19930227,한국 뮤지컬 협회,서울특별시 동작구 신대방동  348번지 125호  ,,,1,영업중,,,
23000-1993-000004,19930402,한국 작곡가회,서울특별시 동작구 신대방동  1번지 1호  우성 아파트 10-1903,,,1,영업중,,,
23000-1993-000005,19930426,백연옥발레단,서울특별시 동작구 사당동  1번지 1호  극동 아파트 102-1104,,,1,영업중,,,
23000-1993-000006,19930522,코리아나 오케스트라,서울특별시 동작구 신대방동  348번지 125호  ,,,1,영업중,,,
23000-1993-000007,19930526,한국고전기타 연주회,서울특별시 동작구 대방동  369번지 21호  ,,,1,영업중,,,
23000-1993-000008,19930728,사군자,서울특별시 동작구 노량진동  292번지 7호  ,,,1,영업중,,,
23000-1993-000009,19930806,인하대학교 고전기타회 OB,서울특별시 동작구 노량진동  119번지 134호  ,,,1,영업중,,,
23000-1993-000010,19931005,중국 장애인 예술단 초청공연,서울특별시 동작구 신대방동  400번지  ,,,1,영업중,,,
23000-1993-000011,19931027,김상건 민족 예술단,서울특별시 동작구 사당동  206번지 105호  ,,,1,영업중,,,
23000-1993-000012,19931101,성기훈독창회,서울특별시 동작구 사당동  산 17번지  극동 101-206,,,1,영업중,,,
23000-1993-000013,19931101,우리가곡 연구회,서울특별시 동작구 동작동  102번지 29호  ,,,1,영업중,,,
23000-1993-000014,19931112,홍운철 실내악단,서울특별시 동작구 신대방동  584번지 8호  ,,,1,영업중,,,
23000-1993-000015,19931125,김수정 음악회,서울특별시 동작구 사당동  1번지  대림 A 2-1501,,,1,영업중,,,
23000-1993-000016,19931201,센무회,서울특별시 동작구 사당동  220번지 55호  ,,,1,영업중,,,
23000-1994-000001,19940117,김영희 귀국 독창회,서울특별시 동작구 대방동  391번지 179호  ,,,1,영업중,,,
23000-1994-000002,19940323,장선희 발레단,서울특별시 동작구 상도동  134번지 96호  ,,,1,영업중,,,
23000-1994-000003,19940401,오느름 국악 실내 악단,서울특별시 동작구 흑석동  231번지 3호  ,,,1,영업중,,,
23000-1994-000004,19940504,광인 성악 연구회,서울특별시 동작구 사당동  1044번지 37호  ,,,1,영업중,,,
23000-1994-000005,19940530,티엔씨,서울특별시 동작구 사당동  252번지 6호  ,,,1,영업중,,,
23000-1994-000006,19940531,친구들,서울특별시 동작구 신대방동  341번지 110호  ,,,1,영업중,,,
23000-1994-000007,19940715,휘이벤트,서울특별시 동작구 대방동  404번지 35호  ,,,1,영업중,,,
23000-1994-000008,19940719,김지혜 바이올린 독주회,서울특별시 동작구 상도동  214번지 356호  ,,,1,영업중,,,
23000-1994-000009,19940811,김윤경,서울특별시 동작구 상도1동  1044번지 37호  ,,,1,영업중,,,
23000-1994-000010,19940816,김현수 악단,서울특별시 동작구 노량진동  265번지 5호  ,,,1,영업중,,,
23000-1994-000011,19940818,고려오페라단,서울특별시 동작구 상도동  58번지 7호  ,,,1,영업중,,,
23000-1994-000012,19941025,서경숙 귀국 피아노 독주회,서울특별시 동작구 대방동  1번지  현대 103-105,,,1,영업중,,,
23000-1995-000001,19950105,신고려오페라단,서울특별시 동작구 상도1동  58번지 7호  ,,,1,영업중,,,
23000-1995-000002,19950126,극단 무궁화,서울특별시 동작구 사당동  91번지 129호  ,,,1,영업중,,,
23000-1995-000003,19950215,DACOM 천리안 연극마당 동호회,서울특별시 동작구 상도1동  510번지  상원 빌라 가 102,,,1,영업중,,,
23000-1995-000004,19950215,예술기획,서울특별시 동작구 상도동  56번지 169호  ,,,1,영업중,,,
23000-1995-000005,19950316,박미리파리프 오른간 독주회,서울특별시 동작구 본동  148번지 2호   극동A 604호,,,1,영업중,,,
23000-1995-000006,19950614,극단예인,서울특별시 동작구 상도동  195번지 38호  ,,,1,영업중,,,
23000-1995-000007,19950703,박미라 파이프 오르간 독주회,서울특별시 동작구 상도동  1050번지 31호  ,,,1,영업중,,,
23000-1995-000008,19951028,백병동 작곡 발표회,서울특별시 동작구 상도1동  1번지  상도 빌라 A동 202호,,,1,영업중,,,
23000-1995-000009,19951127,하나김 가무단,서울특별시 동작구 노량진동  304번지 39호  ,,,1,영업중,,,
23000-1995-000010,19951209,꼴로르 현악 4중주단,서울특별시 동작구 대방동  502번지  현대 아파트 101동 2105,,,1,영업중,,,
23000-1996-000001,19960212,김유봉류 봉산 탈춤 보존회,서울특별시 동작구 흑석동  28번지  한강 현대A 상가 301,,,1,영업중,,,
23000-1996-000002,19960315,윤덕경 무용단,서울특별시 동작구 노량진동  1번지  우성A 105-301,,,1,영업중,,,
23000-1996-000003,19960415,도깨비 나라 인형극단,서울특별시 동작구 사당동  1032번지 9호  ,,,1,영업중,,,
23000-1996-000004,19960424,전통예술 연구완(풍물패 울림),서울특별시 동작구 상도동  154번지 5호   맥산 BD,,,1,영업중,,,
23000-1996-000005,19960521,극단 예군,서울특별시 동작구 상도동  56번지 169호  ,,,1,영업중,,,
23000-1996-000006,19960528,극단 사람,서울특별시 동작구 상도동  184번지 266호  ,,,1,영업중,,,
23000-1996-000007,19960625,하나로 21,서울특별시 동작구 대방동  335번지 25호  ,,,1,영업중,,,
23000-1996-000008,19960830,한국 오페라 아카데미,서울특별시 동작구 상도1동  143번지 64호  ,,,1,영업중,,,
23000-1996-000009,19961129,RUN,서울특별시 동작구 대방동  13번지 42호  ,,,1,영업중,,,
23000-1996-000010,19961211,이수경 독창회,서울특별시 동작구 노량진동  205번지 356호  한강아파트 2-201,,,1,영업중,,,
23000-1996-000011,19961219,최정윤 가야금 독주회,서울특별시 동작구 흑석동  223번지 3210호  ,,,1,영업중,,,
23000-1997-000001,19970217,한국 청음 장애 극단,서울특별시 동작구 노량진동  224번지 6호  ,,,1,영업중,,,
23000-1997-000002,19970324,극단예절,서울특별시 동작구 사당동  708번지 621호  ,,,1,영업중,,,
23000-1997-000003,19970403,에이레레 드라마 연구소,서울특별시 동작구 신대방동  692번지 24호  ,,,1,영업중,,,
23000-1997-000004,19970403,일곱무지개 인형극회,서울특별시 동작구 사당동  산 11번지  ,,,1,영업중,,,
23000-1997-000005,19970416,삽,서울특별시 동작구 상도동  303번지 17호  ,,,1,영업중,,,
23000-1997-000006,19970418,꿈꾸러기,서울특별시 동작구 상도동  375번지 4호  ,,,1,영업중,,,
23000-1997-000007,19970429,독창회,서울특별시 동작구 신대방동  470번지 8호  한성(아) 1004-204,,,1,영업중,,,
23000-1997-000008,19970621,밀라노,서울특별시 동작구 사당동  180번지 40호  ,,,1,영업중,,,
23000-1997-000009,19970723,백수광부,서울특별시 동작구 노량진동  231번지 170호  ,,,1,영업중,,,
23000-1997-000010,19970824,(주) 이벤트 링크,서울특별시 동작구 신대방동  377번지 177호  ,,,1,영업중,,,
23000-1997-000011,19970820,서경프로덕션,서울특별시 동작구 사당동  220번지 184호  ,,,1,영업중,,,
23000-1997-000012,19971126,안병한 이벤트,서울특별시 동작구 사당동  43번지  ,,,1,영업중,,,
23000-1997-000013,19971126,김문애 부동산,서울특별시 동작구 사당동  105번지  ,,,1,영업중,,,
23000-1998-000001,19980310,날개,서울특별시 동작구 상도동  184번지 147호  ,,,1,영업중,,,
23000-1998-000002,19980521,이수 소극장,서울특별시 동작구 사당동  145번지 2호  ,,,1,영업중,,,
23000-1998-000003,19980701,극산 산맥,서울특별시 동작구 상도1동  325번지 11호  ,,,1,영업중,,,
23000-1998-000004,19980715,뮤직 파라솔 최형호,서울특별시 동작구 상도동  229번지 1호  ,,,1,영업중,,,
23000-1998-000005,19980801,유정재 무용단,서울특별시 동작구 흑석동  40번지 12호  ,,,1,영업중,,,
23000-1998-000006,19980806,가스펠,서울특별시 동작구 사당동  1015번지 45호  ,,,1,영업중,,,
23000-1998-000007,19980219,엔테오스,서울특별시 동작구 상도동  210번지  ,,,1,영업중,,,
23000-1999-000006,19990701,서울 동화 프로덕션,서울특별시 동작구 흑석동  143번지 3호  ,,,1,영업중,,,
23000-1999-000007,19990218,하모니챔버오케스트라,서울특별시 동작구 사당동  79번지 40호  ,591-7914,,1,영업중,,,
23000-1999-000008,19990318,한국성악회,서울특별시 동작구 사당동  73번지 23호  ,593-8799,,1,영업중,,,
23000-1999-000009,19990318,레바스앙상블,서울특별시 동작구 상도동  26번지 25호  ,813-8894,,1,영업중,,,
23000-2013-000001,20130618,콘서트홀,서울특별시 동작구 사당동  200번지 1호  ,02-3479-0231,453,1,영업중,,,
23000-2017-000001,20171228,국화소극장,서울특별시 동작구 상도동  170번지 26호  ,02-815-1922,40,1,영업중,,,
23000-2002-000006,20021227,관악문화관?도서관,서울특별시 관악구 신림동  209번지 1호  ,02-828-5700,698,1,영업중,,,
23000-1991-000001,19910430,한전아트센터,서울특별시 서초구 서초동  1355번지 0호  ,2105-8131,999,C,,,,
23000-1991-000002,19910430,더케이아트홀,서울특별시 서초구 양재동  202번지  ,526-9681,998,1,영업중,,,
23000-1993-000001,19930715,반포시네마 1관,서울특별시 서초구 반포동  19번지 1호  고속터미널 5층,,,1,영업중,,,
23000-1993-000002,19930715,반포시네마 2관,서울특별시 서초구 반포동  19번지 4호  고속버스터미널 5층,3477-5004,,1,영업중,,,
23000-1994-000001,19940618,반포시네마 3관,서울특별시 서초구 반포동  19번지 4호  고속버스터미날 5층,,,1,영업중,,,
23000-1996-000001,19960528,씨네맥스 영화관(1관),서울특별시 서초구 방배동  1823번지 0호  ,594-8557,,1,영업중,,,
23000-1996-000002,19961030,예술의전당 토월극장,서울특별시 서초구 서초동  700번지  ,02-580-1301,1004,1,영업중,,,
23000-1996-000003,19961030,예술의전당 자유소극장,서울특별시 서초구 서초동  700번지  ,580-1301,300,1,영업중,,,
23000-2000-000001,20000510,(주)광개토문화,서울특별시 서초구 양재동  202번지 0호  서울교육문화회관 야외수영장,,,1,영업중,,,
23000-2000-000002,20000421,예술의전당 리사이틀홀,서울특별시 서초구 서초동  700번지  ,02-580-1301,375,1,영업중,,,
23000-2001-000001,20010330,씨네맥스2,서울특별시 서초구 방배동  1823번지  ,,,1,영업중,,,
23000-2001-000002,20010330,씨네맥스3,서울특별시 서초구 방배동  1823번지  ,,,1,영업중,,,
23000-2001-000003,20010430,한전아트센터,서울특별시 서초구 서초동  1355번지  한전아트센터,02-2105-8131,999,1,영업중,,,
23000-2002-000001,20021226,한국예술종합학교 크누아홀,서울특별시 서초구 서초동  1753번지  ,02-746-9286,368,1,영업중,,,
23000-2003-000001,20030107,예술의전당 오페라극장,서울특별시 서초구 서초동  700번지  ,580-1810,2340,1,영업중,,,
23000-2003-000002,20030107,예술의전당 콘서트홀,서울특별시 서초구 서초동  700번지  ,02-580-1301,2596,1,영업중,,,
23000-2004-000001,20040511,BLUE NOTE SEOUL(블루노트서울),서울특별시 서초구 서초동  1303번지 22호  교보타워 A동2층,02-514-8702,,1,영업중,,,
23000-2004-000002,20041015,국립국악원 우면당,서울특별시 서초구 서초동  700번지  ,580-3018,348,1,영업중,,,
23000-2004-000003,20041015,국립국악원 예악당,서울특별시 서초구 서초동  700번지  ,02-580-3292,706,1,영업중,,,
23000-2004-000004,20041213,모차르트 콘서트홀,서울특별시 서초구 서초동  1515번지 3호  ,02-3472-8222,201,1,영업중,,,
23000-2005-000001,20050224,SCC Hall,서울특별시 서초구 서초동  1450번지 2호  디에스아이빌딩 3층402호,02-3434-4900,218,1,영업중,,,
23000-2005-000002,20051007,영산양재홀,서울특별시 서초구 양재동  20번지 4호  ,,201,1,영업중,,,
23000-2010-000001,20100426,(주)흰물결 (화이트홀),서울특별시 서초구 서초동  1720번지 4호  ,02-536-8643,458,1,영업중,,,
23000-2010-000002,20101210,반포아트홀M,서울특별시 서초구 반포동  18번지 3호  5층.  511 512 513호,02-593-5600,0,1,영업중,,,
23000-2011-000001,20111009,예술의전당 음악당 IBK챔버홀,서울특별시 서초구 서초동  700번지  예술의전당,02-580-1401,600,1,영업중,,,
23000-2012-000001,20120921,두리춤터(FOYER),서울특별시 서초구 방배동   ,02-533-2141,80,1,영업중,,,
23000-2012-000002,20120921,두리춤터(Black Box),서울특별시 서초구 방배동   ,533-2141,60,1,영업중,,,
23000-2013-000001,20130404,씨어터 송,서울특별시 서초구 서초동  1708번지 7호  ,070-8843-0088,120,1,영업중,,,
23000-2013-000002,20130722,뉴코아 소극장,서울특별시 서초구 잠원동  70번지 2호  ,02-530-5000,,3,폐업,20151002,,
23000-2013-000003,20131015,국립국악원 연희마당,서울특별시 서초구 서초동  700번지  ,02-580-3018,700,1,영업중,,,
23000-2013-000004,20131015,국립국악원 풍류사랑방,서울특별시 서초구 서초동  700번지  ,02-580-3018,130,1,영업중,,,
23000-2013-000005,20131021,네오 아트홀,서울특별시 서초구 서초동  1305번지 2호  ,02-766-7667,230,3,폐업,20170124,,
23000-2014-000001,20140522,흰물결 아트홀,서울특별시 서초구 서초동   흰물결아트센터,02-536-8641,193,1,영업중,,,
23000-2015-000001,20151126,강남아트홀1관,서울특별시 서초구 서초동   ,070-8129-7420,128,3,폐업,20190630,,
23000-2015-000002,20151126,강남아트홀 2관,서울특별시 서초구 서초동   ,070-8129-7420,115,3,폐업,20190630,,
23000-2016-000001,20160407,슬로우씨티(Slow City),서울특별시 서초구 서초동  1316번지 3호  ,02-3481-9597,50,1,영업중,,,
23000-2017-000001,20170113,반포심산아트홀,서울특별시 서초구 반포동  114번지 3호  ,02-3477-2851,433,1,영업중,,,
23000-2017-000002,20170405,서래아트홀,서울특별시 서초구 반포동  74번지 7호  ,02-2155-7689,172,1,영업중,,,
23000-2017-000003,20170609,흰물결예술극장,서울특별시 서초구 서초동  1720번지 8호  ,02-536-8641,297,1,영업중,,,
23000-2017-000004,20170626,서초문화예술회관 아트홀,서울특별시 서초구 양재동  25번지  ,02-2155-8301,690,1,영업중,,,
23000-2018-000001,20181022,라율아트홀,서울특별시 서초구 서초동  1451번지 38호  정주빌딩,,50,1,영업중,,,
23000-2019-000001,20190219,슈필렌 아트홀,서울특별시 서초구 잠원동  76번지 5호  금정빌딩,070-8838-7935,97,1,영업중,,,
23000-2019-000002,20190816,페리지홀,서울특별시 서초구 서초동  1451번지 51호  (주) KH바텍 사옥,023486-8812,202,1,영업중,,,
23000-1999-000001,19991206,LG아트센터,서울특별시 강남구 역삼동  679번지  GS강남타워,02-2005-0114,1103,1,영업중,,,
23000-2002-000001,20021122,민속극장 풍류,서울특별시 강남구 삼성동  112번지 2호  ,02-3011-2178,164,1,영업중,,,
23000-2003-000001,20030207,우림청담씨어터,서울특별시 강남구 청담동  86번지 1   호  I&H 빌딩 지하2층,,292,1,영업중,,,
23000-2003-000002,20031107,SeeART THEATRE,서울특별시 강남구 논현동  58번지 3호  삼익악기 빌딩,02-3446-9706,680,1,영업중,,,
23000-2003-000003,20030122,강남구민회관 강당,서울특별시 강남구 대치동  509번지 2호  ,02-2176-0891,516,1,영업중,,,
23000-2003-000004,20030109,유시어터,서울특별시 강남구 청담동  22번지 13호  ,547-3061,200,3,폐업,20161213,,
23000-2003-000005,20030519,한국문화의 집 KOUS,서울특별시 강남구 대치동  944번지 22호  ,02-566-6300,234,1,영업중,,,
23000-2004-000001,20041210,세라믹팔레스홀,서울특별시 강남구 일원동  713번지  ,3413-0035,438,1,영업중,,,
23000-2004-000002,20041223,코엑스아트홀,서울특별시 강남구 삼성동  159번지  코엑스 컨벤션센터 2층,6000-7889,176,1,영업중,,,
23000-2005-000001,20050411,예림당아트홀,서울특별시 강남구 역삼동  772번지  2층,02-738-8289,468,3,폐업,20180302,,
23000-2005-000002,20050418,라트어린이극장,서울특별시 강남구 도곡동  514번지 1호  ,560-0991,164,3,폐업,20151013,,
23000-2005-000003,20050618,브루클린,서울특별시 강남구 역삼동  820번지 11호  시계탑빌딩 지하 1층,,,3,폐업,20150707,,
23000-2005-000004,20050621,시어터 드림,서울특별시 강남구 청담동  86번지  아이앤에이치빌딩 5층,,246,1,영업중,,,
23000-2005-000005,20051104,백암아트홀,서울특별시 강남구 삼성동  170번지 5호  ,02-559-1333,424,1,영업중,,,
23000-2006-000001,20060105,클럽앤비(NB),서울특별시 강남구 청담동  85번지 4호  ,,,1,영업중,,,
23000-2006-000002,20060203,성암아트센타,서울특별시 강남구 논현동  268번지 16호  3층,02-543-0826,201,1,영업중,,,
23000-2006-000003,20060313,오디토리움,서울특별시 강남구 삼성동  159번지  ,6000-1147,1080,3,폐업,20161231,,
23000-2006-000004,20060522,LIG아트홀,서울특별시 강남구 역삼동  649번지 11호  엘아이지타워 지하2층,02-6900-3900,169,3,폐업,20150330,,
23000-2006-000005,20060616,브로딘아트센터,서울특별시 강남구 청담동  86번지  아이앤에이치빌딩 3~5층,,260,1,영업중,,,
23000-2006-000006,20060808,동양아트홀,서울특별시 강남구 논현동  1번지 3   호  레스타워 B1,595-6802,240,1,영업중,,,
23000-2006-000007,20060825,M극장(DTM),서울특별시 강남구 개포동  1166번지  ,02-578-6812,150,1,영업중,,,
23000-2006-000008,20061031,KT&G 상상마당 대치아트홀,서울특별시 강남구 대치동  1002번지  (지상3층),02-3404-4314,416,1,영업중,,,
23000-2006-000009,20061204,압구정 예홀,서울특별시 강남구 신사동  640번지 2호  지하(105호106호),02-541-8367,70,3,폐업,20151208,,
23000-2009-000001,20090604,코엑스아티움(CoexArtium),서울특별시 강남구 삼성동  159번지 1호  트레이드타워,02-6000-1222,738,1,영업중,,,
23000-2009-000002,20090915,윤당아트홀 1관,서울특별시 강남구 신사동  634번지 10호  ,02-546-8095,259,1,영업중,,,
23000-2009-000003,20090914,윤당아트홀 2관,서울특별시 강남구 신사동  634번지 10호  ,02-546-8095,146,1,영업중,,,
23000-2010-000001,20100216,도곡2소극장,서울특별시 강남구 도곡동  459번지  ,02-6712-0743,140,1,영업중,,,
23000-2010-000002,20100629,오퍼스홀,서울특별시 강남구 신사동  566번지 31호  ,02-516-0900,135,1,영업중,,,
23000-2010-000003,20100722,올림푸스홀,서울특별시 강남구 삼성동  114번지 9호  ,02-6255-3270,238,3,폐업,20180427,,
23000-2012-000001,20120503,일지아트홀,서울특별시 강남구 청담동  86번지  지하2층,02-2016-3355,240,1,영업중,,,
23000-2012-000002,20120612,삼익피아노 홀,서울특별시 강남구 논현동  58번지 3호  3층,02-517-1300,100,1,영업중,,,
23000-2012-000003,20120824,로데오 극장,서울특별시 강남구 신사동  657번지 32호  원방빌딩 지하1층,02-511-1776,,3,폐업,20140829,,
23000-2012-000004,20121101,바라아트홀,서울특별시 강남구 신사동  569번지 2호  ,02-3445-0153,113,3,폐업,20160430,,
23000-2012-000005,20121212,크크,서울특별시 강남구 신사동  666번지 8호  (666-89)  지하1층,,,3,폐업,20131114,,
23000-2013-000001,20130917,역삼1문화센터 대강당,서울특별시 강남구 역삼동  829번지 20호  ,02-2176-0720,230,1,영업중,,,
23000-2013-000002,20131016,스페이스 바움,서울특별시 강남구 논현동  17번지  동신빌딩,070-8885-8802,100,1,영업중,,,
23000-2014-000001,20140912,광림아트센터 장천홀,서울특별시 강남구 신사동  570번지 8호  ,02-2056-5787,613,1,영업중,,,
23000-2015-000001,20150324,PID HALL,서울특별시 강남구 논현동  221번지 7호  ,02.539.5912,265,3,폐업,20180410,,
23000-2015-000002,20150824,마리아칼라스홀,서울특별시 강남구 대치동  983번지 10호  ,02-558-4588,51,1,영업중,,,
23000-2015-000003,20150922,KB아트홀,서울특별시 강남구 역삼동  649번지 11호  ,02-6900-2380,147,1,영업중,,,
23000-2015-000004,20151104,삼익엠팟홀,서울특별시 강남구 논현동  58번지 3호  삼익악기 빌딩,02-541-3929,120,1,영업중,,,
23000-2016-000001,20160629,엑스스페이스,서울특별시 강남구 논현동  176번지 8호  ,02-3445-9615,50,1,영업중,,,
23000-2017-000001,20170426,세실 아트홀,서울특별시 강남구 신사동  616번지 7호  ,02-543-6752,100,1,영업중,,,
23000-2017-000002,20171130,파인트리 시어터,서울특별시 강남구 역삼동  694번지 34호  역선빌딩,,100,1,영업중,,,
23000-2018-000001,20180117,알디뮤직,서울특별시 강남구 청담동  125번지 20호  LH빌딩,02-529-3137,80,1,영업중,,,
23000-2018-000002,20180214,마이라이브홀,서울특별시 강남구 신사동  590번지  ICL빌딩 1층,070-7131-5620,100,1,영업중,,,
23000-2018-000003,20180402,아트홀가얏고을,서울특별시 강남구 역삼동  705번지 27호  화남타워 지하,02-223-0067,77,1,영업중,,,
23000-2018-000004,20180524,spigen hall (슈피겐홀),서울특별시 강남구 삼성동  114번지 9호  슈피겐HQ A동,02-6713-6410,72,1,영업중,,,
23000-2018-000005,20180822,광림아트센터 BBCH홀,서울특별시 강남구 신사동  568번지 2호  ,02-2056-5787,1006,1,영업중,,,
23000-2018-000006,20180913,플랫폼라이브,서울특별시 강남구 논현동  85번지 11호  ,269294470,172,1,영업중,,,
23000-2019-000001,20190620,미스틱,서울특별시 강남구 청담동  85번지 18호  엠디가슴성형센터빌딩,,110,1,영업중,,,
23000-2019-000002,20190709,테크인홀,서울특별시 강남구 신사동  652번지 3호  YK빌딩,,32,1,영업중,,,
23000-2019-000003,20191203,광야 아트센터,서울특별시 강남구 청담동  86번지  ,,192,1,영업중,,,
23000-2020-000001,20200326,주식회사 세븐파이프,서울특별시 강남구 신사동  626번지 25호  원빌딩,,74,1,영업중,,,
23000-2001-000001,20010803,송파여성문화회관 소극장,서울특별시 송파구 송파동  113번지 2호  ,02-2203-3330,176,3,폐업,20180605,,
23000-2003-000001,20031210,야외공연장,서울특별시 송파구 잠실동  47번지  ,,503,1,영업중,,,
23000-2003-000002,20030530,가든스테이지,서울특별시 송파구 잠실동  40번지 1호  ,02-411-2223,350,1,영업중,,,
23000-2003-000003,20030530,동화극장,서울특별시 송파구 잠실동  40번지 1호  ,02-411-4367,130,1,영업중,,,
