도서관명,시도명,시군구명,도서관유형,휴관일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),대출가능권수,대출가능일수,소재지도로명주소,운영기관명,도서관전화번호,부지면적,건물면적,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
옥포작은도서관,경상남도,거제시,작은도서관,"매주월요일, 공휴일",09:00,18:00,09:00,18:00,00:00,00:00,19,31445,11,0,3,14,경상남도 거제시 옥포동 옥포대첩로 84-1,경상남도 거제시 옥포종합사회복지관,055-680-7021,6902,219,http://www.okpowelfare.or.kr,34.893799,128.696573,2020-01-30,5370000,경상남도 거제시
거제시립하청도서관,경상남도,거제시,공공도서관,"추석,설연휴",09:00,18:00,09:00,18:00,09:00,18:00,170,26558,39,1836,5,14,경상남도 거제시 하청면 하청로 12-7,경상남도 거제시청,055-639-3891,1684,1097,http://www.lib.geoje.go.kr,34.955369,128.6551963893,2020-01-30,5370000,경상남도 거제시
거제시립수양도서관,경상남도,거제시,공공도서관,"추석,설연휴",09:00,18:00,09:00,18:00,09:00,18:00,250,38187,36,771,5,14,경상남도 거제시 제산로 5길 26,경상남도 거제시청,055-639-3891,4457,1153,http://www.lib.geoje.go.kr,34.887938,128.6462700390,2020-01-30,5370000,경상남도 거제시
거제시립장승포도서관,경상남도,거제시,공공도서관,"추석,설연휴",09:00,18:00,09:00,18:00,09:00,18:00,164,67601,30,2279,5,14,경상남도 거제시 신부로 36,경상남도 거제시청,055-639-3871,1461,857,http://www.lib.geoje.go.kr,34.86990566,128.731335,2020-01-30,5370000,경상남도 거제시
거제시립옥포도서관,경상남도,거제시,공공도서관,"추석,설연휴",09:00,18:00,09:00,18:00,09:00,18:00,197,57330,34,2780,5,14,경상남도 거제시 진목로 20,경상남도 거제시청,055-639-3881,3716,1159,http://www.lib.geoje.go.kr,34.897043,128.687551,2020-01-30,5370000,경상남도 거제시
거제시립장평도서관,경상남도,거제시,공공도서관,"추석,설연휴",09:00,18:00,09:00,18:00,09:00,18:00,305,57280,32,1021,5,14,경상남도 거제시 장평3로 10,경상남도 거제시청,055-639-3861,2300,1194,http://www.lib.geoje.go.kr,34.889423,128.609444,2020-01-30,5370000,경상남도 거제시
동부도서관,울산광역시,동구,공공도서관,월요일,09:00,22:00,09:00,18:00,09:00,17:00,1002,248735,342,40501,5,14,울산광역시 동구 봉수로 505,울산광역시교육청,052-241-2300,,,https://www.usdl.or.kr/main/main.htm,,,2019-09-18,6310000,울산광역시
남목작은도서관,울산광역시,동구,작은도서관,월요일,10:00,18:00,10:00,18:00,10:00,18:00,27,17999,881,4,3,14,울산광역시 동구 방어진순환도로 1170(남목1동주민센터 2층),울산광역시동구청,052-209-3947,,,http//library.donggu.ulsan.kr,,,2019-09-18,6310000,울산광역시
전하작은도서관,울산광역시,동구,작은도서관,월요일,10:00,18:00,10:00,18:00,10:00,18:00,34,20314,768,4,3,14,울산광역시 동구 진성8길 91(바드래문화관 1층),울산광역시동구청,052-209-3936,,,http//library.donggu.ulsan.kr,,,2019-09-18,6310000,울산광역시
화정작은도서관,울산광역시,동구,작은도서관,월요일,10:00,18:00,10:00,18:00,10:00,18:00,20,16883,787,4,3,14,울산광역시 동구 대송로 140(화정주민센터 1층),울산광역시동구청,052-209-3950,,,http//library.donggu.ulsan.kr,,,2019-09-18,6310000,울산광역시
꽃바위작은도서관,울산광역시,동구,작은도서관,월요일,10:00,18:00,10:00,18:00,10:00,18:00,25,22382,513,3,3,14,울산광역시 동구 문현3길 6(꽃바위문화관 1층),울산광역시동구청,052-209-4337,,,http//library.donggu.ulsan.kr,,,2019-09-18,6310000,울산광역시
광천공공도서관,충청남도,홍성군,공공도서관,"매주 월요일, 공휴일",09:00,21:00,09:00,21:00,09:00,21:00,179,91454,16,0,6,14,충청남도 홍성군 광천읍 광천로 342,홍성군,041-630-9573,,,www.hongseong.go.kr/kor/sub06_13_01_01.do,36.5048524,126.6305378,2019-09-19,4600000,충청남도 홍성군
상월주민자치도서관,충청남도,논산시,작은도서관,매주토요일+매주일요일+국가지정공휴일,09:00,18:00,00:00,00:00,00:00,00:00,20,3440,0,0,5,20,충청남도 논산시 상월면 백일헌로 1049,충청남도 논산시청,041-746-8675,1000,81,,36.2956767,127.1412686491,2019-12-13,4540000,충청남도 논산시
광석빛돌작은도서관,충청남도,논산시,작은도서관,매주금요일+국가지정공휴일,09:00,18:00,09:00,18:00,00:00,00:00,43,3249,0,0,5,20,충청남도 논산시 광석면 광석로 111,충청남도 논산시청,041-733-8123,123,84,,36.2430729581,127.0786841,2019-12-13,4540000,충청남도 논산시
연무도서관,충청남도,논산시,공공도서관,매주월요일+국가지정공휴일,08:00,21:00,08:00,21:00,00:00,00:00,204,80025,7,1791,5,14,충청남도 논산시 연무읍 안심로47번길 6-11,충청남도 논산시청,041-746-8990,2911,1511,http://lib.nonsan.go.kr/lib.do,36.1262052717,127.0973607791,2019-12-13,4540000,충청남도 논산시
강경도서관,충청남도,논산시,공공도서관,매주월요일+국가지정공휴일,08:00,21:00,08:00,21:00,00:00,00:00,68,80899,7,1835,5,14,충청남도 논산시 강경읍 계백로 173,충청남도 논산시청,041-746-8980,1961,1446,http://lib.nonsan.go.kr/lib.do,36.1591204,127.0183991976,2019-12-13,4540000,충청남도 논산시
논산열린도서관,충청남도,논산시,공공도서관,매주월요일+국가지정공휴일,08:00,21:00,08:00,21:00,00:00,00:00,200,35712,27,1835,5,14,충청남도 논산시 관촉로 113-23,충청남도 논산시청,041-746-5981,91709,3328,http://lib.nonsan.go.kr/lib.do,36.1965813148,127.1071743830,2019-12-13,4540000,충청남도 논산시
신도림어린이영어작은도서관,서울특별시,구로구,공공도서관,화요일,09:00,18:00,10:00,17:00,23:59,00:00,30,14420,0,0,3,14,서울특별시 구로구 구로중앙로40,구로문화원,02-2069-0185,,107,http://lib.guro.go.kr,37.507697,126.880593,2019-08-26,3160000,서울특별시 구로구
궁동어린이도서관,서울특별시,구로구,공공도서관,화요일,10:00,19:00,10:00,17:00,23:59,00:00,150,16753,12,48,3,14,서울특별시 구로구 오리로 1352,구로문화원,02-2060-8229,,660,http://lib.guro.go.kr,37.502239,126.829346,2019-08-26,3160000,서울특별시 구로구
글마루한옥어린이도서관,서울특별시,구로구,공공도서관,화요일,10:00,19:00,10:00,22:00,23:59,00:00,60,33537,7,457,3,14,서울특별시 구로구 고척로27바길 7,구로문화원,02-2615-8200,,440,http://lib.guro.go.kr,37.506873,126.845627,2019-08-26,3160000,서울특별시 구로구
개봉도서관,서울특별시,구로구,공공도서관,화요일,09:00,22:00,09:00,22:00,23:59,00:00,61,25768,11,0,3,14,서울특별시 구로구 개봉로16길 30-11,구로문화원,02-2689-1695,,275,http://lib.guro.go.kr,37.488943,126.858861,2019-08-26,3160000,서울특별시 구로구
하늘도서관,서울특별시,구로구,공공도서관,화요일,09:00,22:00,09:00,22:00,23:59,00:00,105,34677,9,113,3,14,서울특별시 구로구 구로동로13길 68,구로문화원,02-864-9585,,521,http://lib.guro.go.kr,37.487432,126.880917,2019-08-26,3160000,서울특별시 구로구
개봉어린이도서관,서울특별시,구로구,공공도서관,화요일,10:00,18:00,10:00,17:00,23:59,00:00,77,38922,10,513,3,14,서울특별시 구로구 경인로 318-15,구로문화원,02-2066-1695,,492,http://lib.guro.go.kr,37.496705,126.855886,2019-08-26,3160000,서울특별시 구로구
구로구립온누리도서관,서울특별시,구로구,공공도서관,화요일,09:00,22:00,09:00,22:00,23:59,00:00,70,32464,12,39,3,14,"서울특별시 구로구 구로중앙로27나길 9, 4층 (온누리관)",구로문화원,02-858-9080,,460,http://lib.guro.go.kr,37.496885,126.885979,2019-08-26,3160000,서울특별시 구로구
꿈마을도서관,서울특별시,구로구,공공도서관,화요일,09:00,17:00,09:00,17:00,23:59,00:00,124,39192,10,0,3,14,서울특별시 구로구 디지털로27다길 65 2층,구로문화원,02-830-5807,,476,http://lib.guro.go.kr,37.487167,126.890156,2019-08-26,3160000,서울특별시 구로구
꿈나무도서관,서울특별시,구로구,공공도서관,화요일,10:00,19:00,10:00,17:00,23:59,00:00,87,86206,12,1952,3,14,"서울특별시 구로구 구로동로26길 54, 2층 (구로구시설관리공단)",구로문화원,02-860-2383,,638,http://lib.guro.go.kr,37.489557,126.886399,2019-08-26,3160000,서울특별시 구로구
태백산소드림도서관,강원도,태백시,공공도서관,금요일/일요일 제외 법정공휴일(일요일이 공휴일과 겹칠때는 휴관)/12.31.,09:00,18:00,09:00,18:00,09:00,18:00,154,21469,42,0,5,14,강원도 태백시 장수길 33,태백시,033-550-2757,1361,871.77,www.taebaek.go.kr/lib,37.1799698838,128.984964,2019-12-26,4220000,강원도 태백시
태백시립도서관,강원도,태백시,공공도서관,월요일/일요일 제외 법정공휴일(일요일이 공휴일과 겹칠때는 휴관)/12.31.,09:00,18:00,09:00,18:00,09:00,18:00,180,126839,30,4336,5,14,강원도 태백시 평화길 12,태백시,033-550-2755,1293,1159.64,www.taebaek.go.kr/lib,37.0997034948,129.0219603,2019-12-26,4220000,강원도 태백시
외포바다마을 작은도서관,경상남도,거제시,작은도서관,"매주토,일요일, 공휴일",09:00,18:00,00:00,00:00,00:00,00:00,34,985,0,0,3,14,경상남도 거제시 장목면 외포 4길 12,경상남도 거제시청,055-636-5063,165,165,,34.94326154,128.7152614,2020-01-31,5370000,경상남도 거제시
꿈꾸는놀이터 작은도서관,경상남도,거제시,작은도서관,"매주월,일요일, 공휴일",09:00,17:00,09:00,17:00,00:00,00:00,30,1500,0,0,10,14,경상남도 거제시 제산로 17,경상남도 거제시 제산로 17,055-638-1000,144,144,,34.89053098,128.6376368,2020-01-30,5370000,경상남도 거제시
엘마르작은도서관,경상남도,거제시,작은도서관,없음,08:00,23:00,08:00,23:00,08:00,23:00,24,1400,0,0,10,14,경상남도 거제시 일운면 지세포해안로 258,경상남도 거제시 일운면 지세포해안로 258,055-681-0117,100,100,,34.83607217,128.7173632,2020-01-30,5370000,경상남도 거제시
대현동 마을문고,울산광역시,남구,작은도서관,"매주 토요일, 일요일, 법정공휴일",09:00,17:30,00:00,00:00,00:00,00:00,20,13343,0,0,3,14,울산광역시 남구 수암로 182(야음동),울산광역시 남구 대현동주민센터,052-226-2802,,33,http://book.ulsannamgu.go.kr/,35.5265278,129.3268071,2019-09-18,6310000,울산광역시
달동 마을문고,울산광역시,남구,작은도서관,"매주 토요일, 일요일, 법정공휴일",10:00,17:00,00:00,00:00,00:00,00:00,6,8907,0,0,3,14,울산광역시 남구 돋질로92번길 28(달동),울산광역시 남구 달동주민센터,052-226-2949,,33,http://book.ulsannamgu.go.kr/,35.5363654,129.3165400,2019-09-18,6310000,울산광역시
삼호 작은도서관,울산광역시,남구,작은도서관,"매주 토요일, 일요일, 법정공휴일",09:00,18:00,00:00,00:00,00:00,00:00,40,14881,2,0,3,14,울산광역시 남구 어은로 9-1(무거동) 서울산새마을금고 2층,울산광역시 남구 삼호동주민센터,052-221-6023,,132.23,http://book.ulsannamgu.go.kr/,35.5502365,129.2732276,2019-09-18,6310000,울산광역시
아이파크1 작은도서관,울산광역시,남구,작은도서관,"매주 토요일, 일요일, 법정공휴일",13:00,17:00,00:00,00:00,00:00,00:00,40,4000,0,0,3,7,울산광역시 남구 동산로69번길 13(신정동),울산광역시 남구 문수로2차 아이파크1단지,052-227-9750,,385,,35.5374709,129.3021293,2019-09-18,6310000,울산광역시
아이파크2 작은도서관,울산광역시,남구,작은도서관,"매주 토요일, 일요일, 법정공휴일",09:00,22:00,09:00,22:00,00:00,00:00,20,2700,0,0,3,7,울산광역시 남구 동산로69번길 14(신정동),울산광역시 남구 문수로2차 아이파크2단지,052-227-9760,,331.02,,35.5365105,129.3045121,2019-09-18,6310000,울산광역시
다독다독 작은도서관,울산광역시,남구,작은도서관,"매주 토요일, 일요일, 법정공휴일",13:00,17:00,00:00,00:00,00:00,00:00,40,2415,0,0,3,7,"울산광역시 남구 문수로369번길 58, (옥동, 도성아파트) 도성상가 19동 204호 다독다독 작은도서관",개인,052-267-7979,,65.9,,35.53764545,129.2965283,2019-09-18,6310000,울산광역시
옥현주공2단지문고,울산광역시,남구,작은도서관,"매주 토요일, 일요일, 법정공휴일",15:00,17:00,00:00,00:00,00:00,00:00,18,10308,0,0,3,7,울산광역시 남구 옥현로 92-12(무거동),울산광역시 남구 옥현주공2단지아파트,052-222-0223,,67.84,,35.5435838,129.2627838,2019-09-18,6310000,울산광역시
옥현주공1단지 책마루,울산광역시,남구,작은도서관,"매주 토요일, 일요일, 법정공휴일",14:30,17:00,00:00,00:00,00:00,00:00,20,7973,0,0,3,7,울산광역시 남구 옥현로 92-13(무거동),울산광역시 남구 옥현주공1단지아파트,052-222-2036,,33,,35.5456744,129.2629964,2019-09-18,6310000,울산광역시
마이코즈문고,울산광역시,남구,작은도서관,"매주 일요일, 법정공휴일",09:00,18:00,00:00,00:00,00:00,00:00,40,2244,0,0,3,7,"울산광역시 남구 돋질로 106, 4층(달동)",사단법인 마이코즈,052-242-1388,,98.81,,35.5390238,129.3173156,2019-09-18,6310000,울산광역시
야음롯데캐슬문고,울산광역시,남구,작은도서관,"매주 월요일, 금요일, 토요일, 일요일, 법정공휴일",15:00,17:00,00:00,00:00,00:00,00:00,23,3667,0,0,3,7,울산광역시 남구 신선로 45(야음동),울산광역시 남구 야음롯데캐슬1단지아파트,052-265-4741,,60,,35.5220564,129.3167759,2019-09-18,6310000,울산광역시
미소나눔도서관,울산광역시,남구,작은도서관,"매주 월요일, 일요일 법정공휴일",14:00,18:00,14:00,18:00,00:00,00:00,50,10119,2,546,3,7,울산광역시 남구 대암로 19(신정동),울산광역시 남구 신성미소지움1단지아파트,052-273-0200,,145,,35.53093609,129.3182774,2019-09-18,6310000,울산광역시
신선산휴먼빌도서관,울산광역시,남구,작은도서관,"매주 화요일, 수요일, 목요일, 토요일, 법정공휴일",15:00,18:00,00:00,00:00,00:00,00:00,12,1977,0,0,3,7,울산광역시 남구 두왕로34번길 42(선암동),울산광역시 남구 신선산휴먼빌아파트,052-276-1030,,39.9,,35.5080249,129.3127108,2019-09-18,6310000,울산광역시
푸른도서관,울산광역시,남구,작은도서관,"매주 월요일, 법정공휴일",10:00,16:00,10:00,16:00,00:00,00:00,16,5890,0,0,3,7,울산광역시 남구 팔등로 85(신정동),울산광역시 남구 울산신정푸르지오아파트,052-256-7739,,84.96,,35.54701568,129.3137217,2019-09-18,6310000,울산광역시
드림작은도서관,울산광역시,남구,작은도서관,"매주 월요일, 법정공휴일",10:00,18:00,10:00,18:00,11:00,15:00,35,3174,0,0,3,7,울산광역시 남구 돋질로 34(신정동),울산광역시 남구 성광교회,052-273-6688,,80,,35.5370755,129.3097612,2019-09-18,6310000,울산광역시
옥현으뜸마을 작은도서관,울산광역시,남구,작은도서관,"매주 토요일, 일요일, 법정공휴일",14:00,17:00,00:00,00:00,00:00,00:00,30,8394,0,0,3,7,울산광역시 남구 옥현로 34(무거동),울산광역시 남구 옥현주공3단지아파트,052-247-3450,,36,,35.53936211,129.2587066,2019-09-18,6310000,울산광역시
굴화 작은도서관,울산광역시,남구,작은도서관,"매주 토요일, 일요일, 법정공휴일",10:00,17:00,00:00,00:00,00:00,00:00,20,5881,0,0,3,7,울산광역시 남구 굴화4길 20(무거동),울산광역시 남구 굴화주공1차아파트,052-221-0224,,77,,35.5543232,129.263099,2019-09-18,6310000,울산광역시
무거위브자이작은도서관,울산광역시,남구,작은도서관,"매주 토요일, 일요일, 법정공휴일",15:00,17:00,00:00,00:00,00:00,00:00,18,4000,0,0,3,7,울산광역시 남구 북부순환도로 35(무거동),울산광역시 남구 무거위브자이아파트,052-247-6622,,113,,35.55346169,129.2654489,2019-09-18,6310000,울산광역시
옹달샘 작은도서관,울산광역시,남구,작은도서관,"매주 토요일, 일요일, 법정공휴일",10:30,16:30,00:00,00:00,00:00,00:00,10,2000,0,0,3,7,"울산광역시 남구 돋질로157번길 38-12, 202호(신정동)",개인,,,39.6,,35.5439908,129.3221024,2019-09-18,6310000,울산광역시
대공원대명루첸아파트 작은도서관,울산광역시,남구,작은도서관,"매주 토요일, 일요일, 법정공휴일",14:00,18:00,00:00,00:00,00:00,00:00,10,3921,0,0,5,7,울산광역시 남구 중앙로120번길 12-8(신정동),울산광역시 남구 대공원대명루첸아파트,052-257-7072,,139,,35.5313349,129.3166507,2019-09-18,6310000,울산광역시
꿈꾸는 고래 도서관,울산광역시,남구,작은도서관,"매주 월요일, 법정공휴일",10:00,18:00,10:00,18:00,00:00,00:00,40,1500,0,0,3,7,"울산광역시 남구 문수로 476, 4층(신정동)",개인,052-225-6670,,145.2,,35.5323365,129.3054325,2019-09-18,6310000,울산광역시
작은도서관 그늘,울산광역시,남구,작은도서관,"매주 일요일, 법정공휴일",10:00,17:00,10:00,17:00,00:00,00:00,20,3000,0,0,3,7,"울산광역시 남구 수암로 153, 4층(야음동)",개인,,,75,,35.5271521,129.3236288,2019-09-18,6310000,울산광역시
책방의 하루,울산광역시,남구,작은도서관,매주 일요일,09:00,18:00,00:00,00:00,00:00,00:00,33,1200,1,20,3,7,"울산광역시 남구 삼산로143번길 25, 2층",사단법인 친한친구들,052-903-5279,,59.4,,35.5384648,129.3219456,2019-09-18,6310000,울산광역시
울림북카페,울산광역시,남구,작은도서관,매주 월요일,10:00,18:00,10:00,13:00,00:00,00:00,99,1423,0,0,3,7,"울산광역시 남구 삼산로 100, 재우빌딩 3층",개인,052-716-2326,,179.664,,35.5347657,129.3186728,2019-09-18,6310000,울산광역시
