시설명,박물관미술관구분,소재지도로명주소,소재지지번주소,위도,경도,운영기관전화번호,운영기관명,운영홈페이지,편의시설정보,평일관람시작시각,평일관람종료시각,공휴일관람시작시각,공휴일관람종료시각,휴관정보,어른관람료,청소년관람료,어린이관람료,관람료기타정보,박물관미술관소개,교통안내정보,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
이천세계도자센터,공립,경기도 이천시 관고동 산 69-1,,37.275659,127.423400,031-645-0730,한국도자재단,,,09:00,18:00,09:00,18:00,매주 월요일(국경일과 겹치는 경우 그 다음날)/ 1월 1일,3000,2000,2000,특별전시입장료-일반(3000)/특별전시입장료-유치원/초등학생(2000)/ 특별전시입장료-청소년 (2000)/ 특별전시입장료-19~25세 (3000),,,031-645-6501,이천세계도자센터,2020-03-20,1371000,문화체육관광부
의왕향토사료관,공립,경기도 의왕시 골우물길 49,,37.3422483,126.9695117,031-345-3666,의왕시,,,09:00,18:00,00:00,00:00,매월 첫째/셋째 월요일/ 법정 공휴일,0,0,0,,,,031-345-3666,의왕향토사료관,2020-03-20,1371000,문화체육관광부
유엔군 초전기념관,공립,경기도 오산시 경기대로 742(외삼미동 640),,37.18461015,127.0490157,031-377-1625,대한민국무공수훈자회 오산시지회,,,09:00,18:00,09:00,18:00,매주월요일/ 신청/ 설 및 추석 당일,0,0,0,,,,031-8036-7403,유엔군 초전기념관,2020-03-20,1371000,문화체육관광부
유럽자기박물관,공립,경기도 부천시 소사로 482,,37.50256698,126.7990239,032-661-0238,부천문화재단,,,09:00,18:00,09:00,18:00,매주 월요일(단/ 월요일이 공휴일인 경우 당일은 개관하고 그 다음 첫번째 평일에 휴관),1000,600,600,,,,032-625-3131,유럽자기박물관,2020-03-20,1371000,문화체육관광부
우석헌자연사박물관,사립,경기도 남양주시 진접읍 금강로 1095,,37.69784015,127.1611128,031-572-9555,우석헌자연사박물관,,,09:00,19:00,09:00,19:00,매주 일/ 월,5000,3000,3000,,,,031-572-9555,우석헌자연사박물관,2020-03-20,1371000,문화체육관광부
용주사 효행박물관,사립,경기도 화성시 용주로 136,,37.21177787,127.0056149,031-226-3488,대한불교조계종 용주사,,,10:00,17:00,10:00,17:00,매주 월요일,0,0,0,,,,031-232-0660,용주사 효행박물관,2020-03-20,1371000,문화체육관광부
외할머니의 부엌,사립,경기도 김포시 대곶면 신안리222,,37.647125,126.539740,031-984-1993,외할머니의 부엌,,,10:00,17:00,10:00,17:00,매주 월요일,2000,2000,1000,,,,031-984-1993,외할머니의 부엌,2020-03-20,1371000,문화체육관광부
예아리박물관,사립,경기도 용인시 처인구 백암면 근삼리 389-1,,37.141804,127.363690,031-323-7277,예아리박물관,,,09:00,18:00,09:00,18:00,매주월요일,5000,4000,4000,,,,031-322-7277,예아리박물관,2020-03-20,1371000,문화체육관광부
예당국악박물관(휴관),사립,경기도 남양주시 수석동 강변북로661번길 21,,37.590180,127.168330,031-590-6981,예당국악박물관,,,00:00,00:00,00:00,00:00,예당국악박물관-2(2017.12.05.) /관람시각 정보 없음,5000,3000,3000,특별전시입장료-일반(5000)/특별전시입장료-미취학(3000)/특별전시입장료-유치원/초등학생(3000)/ 특별전시입장료-청소년 (3000)/ 특별전시입장료-19~25세 (5000),,,031-558-4825,예당국악박물관(휴관),2020-03-20,1371000,문화체육관광부
영집궁시박물관,사립,경기도 파주시 탄현면 국원말길 168,,37.78483548,126.7112633,031-944-6800,영집궁시박물관,,,10:00,18:00,10:00,18:00,매주 월/ 설날/ 추석,0,2500,2000,특별전시입장료-일반(3000)/특별전시입장료-미취학(2000)/특별전시입장료-유치원/초등학생(2000)/ 특별전시입장료-청소년 (2500)/ 특별전시입장료-19~25세 (3000),,,031-944-6800,영집궁시박물관,2020-03-20,1371000,문화체육관광부
여주곤충박물관,사립,경기도 여주시 명품로 308-28~27,,37.243237,127.616000,031-885-1400,농업회사법인㈜ 여주곤충박물관,,,10:00,18:00,10:00,18:00,매주 월요일,7000,7000,7000,특별전시입장료-일반(7000)/특별전시입장료-미취학(7000)/특별전시입장료-유치원/초등학생(7000)/ 특별전시입장료-청소년 (7000)/ 특별전시입장료-19~25세 (7000),,,031-885-1400,여주곤충박물관,2020-03-20,1371000,문화체육관광부
여성생활사박물관,사립,경기도 여주시 강천면 강천로 324-20,,37.2425236,127.7081445,031-882-8100,여성생활사박물관,,,10:00,18:00,10:00,18:00,매주월요일,1000,1500,2000,,,,031-882-8100,여성생활사박물관,2020-03-20,1371000,문화체육관광부
왈츠와 닥터만 커피박물관,사립,경기도 남양주시 북한강로 856-37,,37.591975,127.338460,031-576-0020,왈츠와 닥터만 커피박물관,,,11:00,18:00,11:00,18:00,매주 월/화,5000,5000,3000,특별전시입장료-일반(5000)/특별전시입장료-유치원/초등학생(3000)/ 특별전시입장료-청소년 (5000)/ 특별전시입장료-19~25세 (5000),,,031-576-0020,왈츠와 닥터만 커피박물관,2020-03-20,1371000,문화체육관광부
옹청박물관,사립,경기도 여주시 산북면 금품2로 132,,37.38943856,127.4481509,031-881-4170,옹청박물관,,,09:00,13:00,00:00,00:00,토. 일. 월요일/ 1월1일/ 국경일 (예약시 예외),0,0,0,,,,031-881-4157,옹청박물관,2020-03-20,1371000,문화체육관광부
양평아프리카문화예술박물관,사립,경기도 양평군 용문면 금곡길 40,,37.5072747,127.6163635,031-771-4722,개인,,,10:00,18:00,10:00,18:00,일요일/ 명절,6000,5000,5000,특별전시입장료-일반(6000)/특별전시입장료-미취학(5000)/특별전시입장료-유치원/초등학생(5000)/ 특별전시입장료-청소년 (5000)/ 특별전시입장료-19~25세 (6000),,,031-771-4722,양평아프리카문화예술박물관,2020-03-20,1371000,문화체육관광부
아프리카예술박물관,사립,경기도 포천시 소흘읍 무림리 41,,37.777123,127.137030,031-543-3600,아프리카예술박물관,,,10:00,18:00,10:00,18:00,매주월,5500,5500,4500,특별전시입장료-일반(5500)/특별전시입장료-미취학(4500)/특별전시입장료-유치원/초등학생(4500)/ 특별전시입장료-청소년 (5500)/ 특별전시입장료-19~25세 (5500),,,031-543-3600,아프리카예술박물관,2020-03-20,1371000,문화체육관광부
아해한국전통문화어린이박물관(아해박물관),사립,경기도 과천시 추사로 133,,37.45761881,127.029979,02-3418-5501,아해한국전통문화어린이박물관,,,09:00,18:00,09:00,18:00,일요일/ 설날/ 추석,5000,5000,5000,,,,02-3418-5501,아해한국전통문화어린이박물관(아해박물관),2020-03-20,1371000,문화체육관광부
신영숙컬렉션박물관,사립,경기도 용인시 기흥구 흥덕4로 63,,37.27730736,127.0901098,031-213-8223,신영숙컬렉션박물관,,,00:00,00:00,10:00,18:00,매주 월요일  /관람시각 정보 없음,9000,5000,5000,,,,031-213-8223,신영숙컬렉션박물관,2020-03-20,1371000,문화체육관광부
신세계한국상업사박물관(휴관),사립,경기도 용인시 처인구 남사면 창리 256-1,,37.150595,127.181190,031-339-1234,신세계한국상업사박물관,,,00:00,00:00,00:00,00:00,관람시각 정보 없음,0,0,0,,,,031-339-1234,신세계한국상업사박물관(휴관),2020-03-20,1371000,문화체육관광부
세주묘엄박물관,사립,경기도 수원시 팔달구 우만동 248번지,,37.291465,127.038010,031-256-4127,봉녕사,,,09:00,16:00,09:00,16:00,매주월요일 (설/ 추석),0,0,0,,,,031-256-4127,세주묘엄박물관,2020-03-20,1371000,문화체육관광부
세계인형박물관,사립,경기도 파주시 탄현면 헤이리마을길 76-100,,37.78690651,126.7021051,031-947-2575,세계인형박물관,,,10:00,18:00,10:00,18:00,매주 월/ 설날/ 추석,5000,4000,3000,특별전시입장료-일반(5000)/특별전시입장료-미취학(3000)/특별전시입장료-유치원/초등학생(3000)/ 특별전시입장료-청소년 (4000)/ 특별전시입장료-19~25세 (5000),,,031-947-2575,세계인형박물관,2020-03-20,1371000,문화체육관광부
세계민속악기박물관(헤이리),사립,경기도 파주시 탄현면 헤이리마을길 63-26,,37.78950876,126.6993791,031-946-9838,세계민속악기박물관,,,09:30,17:30,09:30,17:30,매주 월/ 설날/ 추석,5000,4000,4000,,,,031-946-9838,세계민속악기박물관(헤이리),2020-03-20,1371000,문화체육관광부
삼성화재교통박물관,사립,경기도 용인시 처인구 포곡읍 에버랜드로 376번길 171,,37.30037157,127.2169538,031-320-9900,삼성화재,,,10:00,18:00,10:00,18:00,신정/ 구정/ 추석 연휴,6000,5000,5000,,,,031-320-9900,삼성화재교통박물관,2020-03-20,1371000,문화체육관광부
삶의이야기가있는집,사립,경기도 용인시 처인구 원삼면 사암리 883-1,,37.173423,127.295930,031-334-4543,청수나눔실천회,,,09:00,17:00,00:00,00:00,공휴일 관람시각 정보 없음,0,0,0,,,,031-334-4543,삶의이야기가있는집,2020-03-20,1371000,문화체육관광부
사람박물관 얼굴,사립,경기도 광주시 남종면 분원길 3-6,,37.49395804,127.3020513,031-765-3522,사람박물관얼굴,,,10:00,18:00,10:00,18:00,매주 월요일/ 화요일,4000,3000,3000,특별전시입장료-일반(4000)/특별전시입장료-미취학(2000)/특별전시입장료-유치원/초등학생(2000)/ 특별전시입장료-청소년 (3000)/ 특별전시입장료-19~25세 (4000),,,031-765-3522,사람박물관 얼굴,2020-03-20,1371000,문화체육관광부
벽봉한국장신구박물관,사립,경기도 파주시 탄현면 헤이리마을길48-38,,37.7876293,126.7000633,031-949-0848,벽봉한국장신구박물관,,,11:00,18:00,11:00,18:00,매주 월 화/ 설날/ 추석,5000,3000,3000,특별전시입장료-일반(5000)/특별전시입장료-미취학(3000)/특별전시입장료-유치원/초등학생(3000)/ 특별전시입장료-청소년 (3000)/ 특별전시입장료-19~25세 (5000),,,031-949-0848,벽봉한국장신구박물관,2020-03-20,1371000,문화체육관광부
배다골민속박물관,사립,경기도 고양시 덕양구 화정동배다골길131,,37.631541,126.847260,031-970-6330,배다골민속박물관,,,00:00,00:00,00:00,00:00,관람시각 정보 없음,0,0,0,,,,031-970-6330,배다골민속박물관,2020-03-20,1371000,문화체육관광부
배다리박물관(휴관),사립,경기도 고양시 덕양구 성사동 470-1,,37.658452,126.846260,031-967-8052,배다리박물관,,,00:00,00:00,00:00,00:00,관람시각 정보 없음,0,0,0,,,,031-967-8052,배다리박물관(휴관),2020-03-20,1371000,문화체육관광부
미호박물관,사립,경기도 남양주시 고산로 126번길 15-2,,37.5926636,127.1806149,031-566-7377,미호박물관,,,10:00,19:00,10:00,20:00,1.1/명절당일,7000,6000,6000,,,,031-566-7377,미호박물관,2020-03-20,1371000,문화체육관광부
한길책박물관,사립,경기도 파주시 탄현면 헤이리마을길 59-6,,37.78926001,126.697936,031-949-9786,한길책박물관,,,11:00,18:00,11:00,18:00,매주 월/ 설날/ 추석,6000,4000,4000,특별전시입장료-일반(6000)/특별전시입장료-미취학(4000)/특별전시입장료-유치원/초등학생(4000)/ 특별전시입장료-청소년 (4000)/ 특별전시입장료-19~25세 (6000),,,031-949-9786,한길책박물관,2020-03-20,1371000,문화체육관광부
한국탁본자료관,사립,경기도 남양주시 와부읍 도심길 16,,37.58051508,127.2225551,031-521-1497,개인,,,10:00,17:00,00:00,00:00,토/일요일/ 공휴일,0,0,0,,,,031-521-1497,한국탁본자료관,2020-03-20,1371000,문화체육관광부
한국카메라박물관,사립,경기도 과천시 대공원광장로 8,,37.43505387,127.0056677,02-502-4123,한국카메라박물관,,,10:00,18:00,10:00,18:00,일/월 정기휴무,5000,4000,3000,특별전시입장료-일반(5000)/특별전시입장료-미취학(3000)/특별전시입장료-유치원/초등학생(3000)/ 특별전시입장료-청소년 (4000)/ 특별전시입장료-19~25세 (5000),,,02-502-4123,한국카메라박물관,2020-03-20,1371000,문화체육관광부
한국민속촌박물관,사립,경기도 용인시 기흥구 민속촌로 90,,37.25951948,127.1235375,031-288-0000,조원관광진흥㈜,,,09:30,18:30,09:30,19:00,-,18000,15000,13000,특별전시입장료-일반(18000)/특별전시입장료-미취학(13000)/특별전시입장료-유치원/초등학생(13000)/ 특별전시입장료-청소년 (15000)/,,,031-288-2924,한국민속촌박물관,2020-03-20,1371000,문화체육관광부
한국등잔 박물관,사립,경기도 용인시 처인구 모현면 능원리 259-9,,37.336770,127.177680,031-334-0797,한국등잔박물관,,,09:00,18:00,09:00,18:00,매주 월/ 화요일 1월 1일/ 설날(당일)/ 추석(당일),5000,3000,3000,특별전시입장료-일반(5000)/특별전시입장료-유치원/초등학생(3000)/ 특별전시입장료-청소년 (3000)/ 특별전시입장료-19~25세 (3000),,,031-334-0797,한국등잔 박물관,2020-03-20,1371000,문화체육관광부
한국기독교역사박물관,사립,경기도 이천시 대월면 대평로 214번길 10-13,,37.22281426,127.4992497,031-632-1391,(재)한국기독교역사박물관,,,10:00,17:00,10:00,17:00,매주 일/월요일/ 1월1일/ 5월5일/ 추석연휴/ 설연휴,0,0,0,,,,031-632-1391,한국기독교역사박물관,2020-03-20,1371000,문화체육관광부
한국근현대사박물관,사립,경기도 파주시 탄현면 헤이리마을길 59-85,,37.79087109,126.6952001,031-957-1125,한국근현대사박물관,,,09:30,18:00,09:30,19:00,매주 월/ 설날/ 추석,7000,5000,5000,특별전시입장료-일반(7000)/특별전시입장료-미취학(5000)/특별전시입장료-유치원/초등학생(5000)/ 특별전시입장료-청소년 (5000)/ 특별전시입장료-19~25세 (7000),,,031-957-1125,한국근현대사박물관,2020-03-20,1371000,문화체육관광부
한과문화박물관한가원,사립,경기도 포천시 영북면 산정호수로 322번길 26-9,,38.0683553,127.3037277,031-533-8121,한과문화박물관한가원,,,10:00,18:00,10:00,18:00,연중무휴,3000,1500,1500,,,,031-533-8121,한과문화박물관한가원,2020-03-20,1371000,문화체육관광부
피노키오뮤지엄,사립,경기도 파주시 회동길 152(문발동),,37.70890656,126.6875615,02-3144-3700,피노지움,,,10:30,18:30,10:30,18:30,매주 월/ 설날/ 추석,8000,8000,8000,특별전시입장료-일반(6000~8000)/특별전시입장료-미취학(6000~8000)/특별전시입장료-유치원/초등학생(6000~8000)/ 특별전시입장료-청소년 (6000)/ 특별전시입장료-19~25세 (8000),,,02-3144-3700,피노키오뮤지엄,2020-03-20,1371000,문화체육관광부
프라움 악기박물관,사립,경기도 남양주시 와부읍 경강로 756,,37.56837852,127.2273818,031-521-6043,프라움악기박물관,,,00:00,00:00,00:00,00:00,홈페이지  /관람시각 정보 없음,5000,4000,3000,,,,031-521-6043,프라움 악기박물관,2020-03-20,1371000,문화체육관광부
풀짚공예박물관,사립,경기도 광주시 오포읍 문형산길 76,,37.36419778,127.1651063,031-717-4538,풀짚공예박물관,,,09:30,18:00,10:00,18:00,매주 월요일,3000,1500,1500,특별전시입장료-일반(3000)/특별전시입장료-미취학(1500)/특별전시입장료-유치원/초등학생(1500)/ 특별전시입장료-청소년 (1500)/ 특별전시입장료-19~25세 (3000),,,031-717-4538,풀짚공예박물관,2020-03-20,1371000,문화체육관광부
파주나비나라박물관,사립,경기도 파주시 광인사길 161,,37.71485123,126.6869104,031-955-3727,파주나비나라박물관,,,10:00,18:00,10:00,18:00,매주 월/ 설날/ 추석,4000,5000,5000,특별전시입장료-일반(6000)/특별전시입장료-미취학(6000)/특별전시입장료-유치원/초등학생(6000)/ 특별전시입장료-청소년 (6000)/ 특별전시입장료-19~25세 (6000),,,031-955-3727,파주나비나라박물관,2020-03-20,1371000,문화체육관광부
타임앤블레이드박물관,사립,경기도 파주시 탄현면 헤이리마을길41,,37.78734981,126.6978711,031-949-5675,타임앤블레이드박물관,,,10:00,18:00,10:00,18:00,매주 월 화/ 설날/ 추석,6000,4000,4000,특별전시입장료-일반(6000)/특별전시입장료-미취학(4000)/특별전시입장료-유치원/초등학생(4000)/ 특별전시입장료-청소년 (4000)/ 특별전시입장료-19~25세 (6000),,,031-949-5675,타임앤블레이드박물관,2020-03-20,1371000,문화체육관광부
충현박물관,사립,경기도 광명시 오리로347번길 5-5,,37.43334079,126.8783874,02-898-0505,충현문화재단,,,10:00,17:00,10:00,17:00,매주 월요일 휴관/ 동절기 휴관(12월~2월),3500,2500,2500,,,,02-898-0505,충현박물관,2020-03-20,1371000,문화체육관광부
청강만화역사박물관,사립,경기도 이천시 마장면 청강가창로 389-94(해월리) 청강문화산업대학교~ 청강홀 3층,,37.20463844,127.3541764,031-639-5790,청강문화산업대학교,,,10:00,17:00,00:00,00:00,주말 및 공휴일,0,0,0,,,,031-639-5790,청강만화역사박물관,2020-03-20,1371000,문화체육관광부
철도박물관,사립,경기도 의왕시 철도박물관로 142,,37.3140471,126.9512975,031-461-3610,한국철도공사,,,10:00,17:00,09:00,18:00,매주월요일 공휴일 다음날 설/추석/1/1,2000,1000,1000,,,,031-461-3610,철도박물관,2020-03-20,1371000,문화체육관광부
창조자연사박물관,사립,경기도 시흥시 두문로 71번길 4,,37.43371506,126.786472,031-435-1009,창조자연사박물관,,,10:00,17:00,10:00,17:00,매주월요일,8000,7000,7000,,,,031-435-1009,창조자연사박물관,2020-03-20,1371000,문화체육관광부
조병화문학관,사립,경기도 안성시 양성면 난실길 14-1,,37.11207969,127.2216269,031-674-0307,조병화문학관,,,10:30,17:00,10:30,17:00,매주 월요일/ 1월1일/ 구정/ 추석/ 성탄절,3000,2000,2000,특별전시입장료-일반(3000)/특별전시입장료-유치원/초등학생(2000)/ 특별전시입장료-청소년 (2000)/ 특별전시입장료-19~25세 (3000),,,031-674-0307,조병화문학관,2020-03-20,1371000,문화체육관광부
조명박물관,사립,경기도 양주시 광적면 광적로 235-48,,37.83609614,126.9675329,070-7780-8911,조명박물관,,,10:00,17:00,10:00,17:00,신정/구정/추석/필룩스창립기념일(6.20),5000,40000,4000,특별전시입장료-일반(8000)/특별전시입장료-미취학(12000)/특별전시입장료-유치원/초등학생(12000)/ 특별전시입장료-청소년 (8000)/ 특별전시입장료-19~25세 (8000),,,070-7780-8000,조명박물관,2020-03-20,1371000,문화체육관광부
잔아문학박물관,사립,경기도 양평군 서종면 사랑제길 9-9,,37.59678435,127.3547767,031-771-8577,잔아문학박물관,,,10:00,18:00,10:00,18:00,매주 월요일/신정/ 추석/설날 당일,2000,1500,1000,,,,031-771-8577,잔아문학박물관,2020-03-20,1371000,문화체육관광부
자연생태박물관,사립,경기도 부천시 길주로 660,,37.50523336,126.8163659,032-625-3503,부천시,,,09:30,18:00,09:30,18:00,매주 월요일/ 1월1일/ 설날/ 추석당일,2000,1500,1500,특별전시입장료-일반(2000)/특별전시입장료-미취학(1000)/특별전시입장료-유치원/초등학생(1500)/ 특별전시입장료-청소년 (1500)/ 특별전시입장료-19~25세 (2000),,,032-625-3503,자연생태박물관,2020-03-20,1371000,문화체육관광부
일본군위안부역사관,사립,경기도 광주시 퇴촌면 가새골길 85,,37.44284702,127.322019,031-768-0064,나눔의집,,,10:00,17:00,10:00,17:00,매주 월요일,5000,3000,3000,,,,031-768-0064,일본군위안부역사관,2020-03-20,1371000,문화체육관광부
이풀실내정원,사립,경기도 안산시 상록구 반월천북길 139-18,,37.3106787,126.8892702,031-437-2550,이풀실내정원,,,11:00,22:00,11:00,22:00,매주 월요일,0,0,0,,,,031-437-2550,이풀실내정원,2020-03-20,1371000,문화체육관광부
유진민속박물관,사립,경기도 고양시 덕양구 원흥동 440-2,,37.384540,126.515780,031-966-5262,유진민속박물관,,,09:00,18:00,00:00,00:00,일/월/공휴일,6000,5000,5000,,,,031-966-5262,유진민속박물관,2020-03-20,1371000,문화체육관광부
김시습기념관,공립,강원도 강릉시 운정길 85,,37.78628311,128.8875942,033-644-4600,김시습기념관,,,09:00,18:00,09:00,18:00,-,0,0,0,,,,033-640-5580,김시습기념관,2020-03-20,1371000,문화체육관광부
대관령 박물관,공립,강원도 강릉시 대관령옛길1(성산면 어흘리 374-3) 대관령박물관,,37.716848,128.803890,033-660-3831,강릉 오죽헌/시립박물관,,,09:00,18:00,09:00,18:00,1월 1일/ 설날/ 추석 휴관,1000,400,700,,,,033-660-3831,대관령 박물관,2020-03-20,1371000,문화체육관광부
강원도산림박물관,공립,강원도 춘천시 화목원길 24,,37.92264577,127.7251617,033-248-6690,강원도산림박물관,,,10:00,18:00,10:00,18:00,매월 첫주 월요일/ 설날 및 추석연휴,0,0,0,,,,033-248-6691,강원도산림박물관,2020-03-20,1371000,문화체육관광부
강원도디엠제트박물관,공립,강원도 고성군 현내면 통일전망대로 369,,38.57624525,128.3825288,033-681-0625,강원도디엠제트박물관,,,09:00,18:00,09:00,18:00,1월 1일/매주 월요일,0,0,0,,,,033-681-0625,강원도디엠제트박물관,2020-03-20,1371000,문화체육관광부
강원경찰박물관,국립,강원도 춘천시 신북읍 신샘밭로 361,,37.92530141,127.7499321,033-245-0481,강원지방경찰청,,,09:30,17:30,09:30,17:30,매주 월요일/ 설날 및 추석연휴/ 국가지정공휴일,0,0,0,,,,033-245-0481,강원경찰박물관,2020-03-20,1371000,문화체육관광부
국립산악박물관,국립,강원도 속초시 미시령로3054번지(노학동),,38.203113,128.540390,033-638-4459,국립산악박물관,,,09:00,18:00,09:00,17:00,매주 월요일(단/ 월요일이 공휴일인 경우 당일은 개관하고 그 다음 첫번째 평일에 휴관),0,0,0,,,,042-481-4150,국립산악박물관,2020-03-20,1371000,문화체육관광부
국립춘천박물관,국립,강원도 춘천시 우석로 70,,37.86402038,127.7521925,033-260-1500,국립춘천박물관,,,09:00,18:00,10:00,19:00,1월 1일/ 설날/ 추석 당일/ 매주 월요일,0,0,0,,,,033-260-1500,국립춘천박물관,2020-03-20,1371000,문화체육관광부
한신대학교 박물관,대학,경기도 오산시 한신대길 137,,37.19243447,127.0282159,031-379-0195,한신대학교,,,00:00,00:00,00:00,00:00,토/일/공휴일  /관람시각 정보 없음,0,0,0,,,,031-379-0195,한신대학교 박물관,2020-03-20,1371000,문화체육관광부
한국항공대학교 항공우주박물관,대학,경기도 고양시 덕양구 화전동 200-1,,37.599805,126.865560,031-300-0466,한국항공대학교 항공우주박물관,,,00:00,00:00,00:00,00:00,/관람시각 정보 없음,2000,2000,2000,,,,031-300-0466,한국항공대학교 항공우주박물관,2020-03-20,1371000,문화체육관광부
용인대학교박물관,대학,경기도 용인시 처인구 용인대학로 134,,37.22787744,127.1707221,031-8020-3001,용인대학교박물관,,,10:00,16:00,00:00,00:00,토/일/공휴일/개교기념일,0,0,0,,,,031-8020-3001,용인대학교박물관,2020-03-20,1371000,문화체육관광부
아주대학교 도구박물관,대학,경기도 수원시 영통구 월드컵로 206,,37.28305701,127.0436623,031-219-2907,아주대학교,,,10:00,17:00,00:00,00:00,공휴일 휴관,0,0,0,,,,031-219-2907,아주대학교 도구박물관,2020-03-20,1371000,문화체육관광부
신구대학박물관,대학,경기도 성남시 중원구 광명로 377,,37.44885031,127.167697,031-740-1258,신구대학교 박물관,,,09:00,18:00,00:00,00:00,지정 공휴일,0,0,0,,,,031-740-1258,신구대학박물관,2020-03-20,1371000,문화체육관광부
수원대학교 박물관,대학,경기도 화성시 봉담읍 와우안길 17,,37.2101183,126.9794787,031-220-2341,수원대학교,,,09:00,17:00,00:00,00:00,주말 및 공휴일휴교일,0,0,0,,,,031-220-2341,수원대학교 박물관,2020-03-20,1371000,문화체육관광부
명지대학교 박물관,대학,경기도 용인시 처인구 남동 산 38-2,,37.131950,127.111880,031-330-6074,명지대학교,,,00:00,00:00,00:00,00:00,토/일/ 공휴일/ 개교기념일  /관람시각 정보 없음,0,0,0,,,,031-330-6073,명지대학교 박물관,2020-03-20,1371000,문화체육관광부
단국대석주선기념박물관,대학,경기도 용인시 수지구 죽전동 126,,37.319151,127.127880,031-8005-2389,단국대학교,,,10:00,16:00,00:00,00:00,학교 방학기간 공휴일 박물관에 특별한 사정이 있을때,0,0,0,,,,1899-3700,단국대석주선기념박물관,2020-03-20,1371000,문화체육관광부
경희대학교 혜정박물관,대학,경기도 용인시 기흥구 서천리 1,,37.240993,127.079590,031-201-2014,경희대학교,,,00:00,00:00,00:00,00:00,주말/공휴일/소독  /관람시각 정보 없음,0,0,0,,,,031-201-3114,경희대학교 혜정박물관,2020-03-20,1371000,문화체육관광부
