"번호","사업장명","소재지전체주소","도로명전체주소","개업일자","영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지면적","소재지우편번호","약국영업면적","인허가구분명","지정일자","전화번호","위치정보(X)","위치정보(Y)","상세영업상태명"
"13","정민약국","서울특별시 종로구 명륜4가 144","서울특별시 종로구 대학로9길 37 (명륜4가)","19791013","운영중","","","","","","","16","약국","19791013","02-763-3248","199998.72574700000  ","453601.37307600000  ","영업중"
"14","종근당약국","서울특별시 종로구 종로5가 193-2021","서울특별시 종로구 종로 230-1 (종로5가)","19940711","운영중","","","","","","","85","약국","19940711","02-2274-1311","200291.31031700000  ","452360.08438500000  ","영업중"
"15","우리약국","서울특별시 종로구 옥인동 170-34","서울특별시 종로구 옥인길 32-5 (옥인동)","19850904","운영중","","","","","","","17","약국","19850904","02-738-9179","197062.88270600000  ","453506.24977400000  ","영업중"
"16","백수약국","서울특별시 종로구 종로5가 42-1","서울특별시 종로구 종로 233-1 (종로5가)","19900326","운영중","","","","","","","79","약국","19900326","02-766-1083","200333.96658600000  ","452415.68639700000  ","영업중"
"17","성당약국","서울특별시 종로구 낙원동 210번지","서울특별시 종로구 수표로 115 1층 (낙원동)","19800819","운영중","","","","","","","13.68","약국","19800819","02-765-4342","199041.75319000000  ","452339.78700500000  ","영업중"
"18","한독약국","서울특별시 종로구 동숭동 130-65","서울특별시 종로구 동숭길 52 (동숭동)","19750531","운영중","","","","","","","16","약국","19750531","02-762-4636","200391.86118000000  ","453447.37763100000  ","영업중"
"19","동인약국","서울특별시 종로구 창신동 687-26","서울특별시 종로구 창신길 11 (창신동)","19810924","운영중","","","","","","","24","약국","19810924","02-743-7371","200929.69928500000  ","452522.84078000000  ","영업중"
"20","대흥사약국","서울특별시 종로구 봉익동 22번지 2호","서울특별시 종로구 돈화문로6가길 40 (봉익동)","19990817","운영중","","","","","","110390","22","약국","19990817","02-764-4548","199313.32149500000  ","452550.92422200000  ","영업중"
"21","돈미약국","서울특별시 종로구 가회동 30-9","서울특별시 종로구 북촌로 51-1 (가회동)","19681115","운영중","","","","","","","39","약국","19681115","02-763-2220","198664.82509700000  ","453552.65178200000  ","영업중"
"22","시민약국","서울특별시 종로구 적선동 106-3","서울특별시 종로구 자하문로 2 (적선동)","19741028","운영중","","","","","","","26","약국","19741028","02-736-6512","197591.23062700000  ","452978.17206800000  ","영업중"
"23","종로프라자약국","서울특별시 종로구 옥인동 19-33","서울특별시 종로구 자하문로 63 (옥인동)","20030102","운영중","","","","","","","71","약국","20030102","02-736-0806","197402.45480500000  ","453559.62454900000  ","영업중"
"24","삼보약국","서울특별시 종로구 관수동 17번지 1호","서울특별시 종로구 수표로 92 (관수동)","19750415","운영중","","","","","","110420","16","약국","19750415","02-2279-9230","199084.90468800000  ","452205.12168200000  ","영업중"
"25","희망약국","서울특별시 종로구 연건동 198-2","서울특별시 종로구 율곡로 204 (연건동)","20070102","운영중","","","","","","","49","약국","20070102","02-747-1139","200133.90985700000  ","452926.12598200000  ","영업중"
"26","참약국","서울특별시 종로구 서린동 111번지 1호 인주빌딩 606호","서울특별시 종로구 종로 22 606호 (서린동 인주빌딩)","20000612","운영중","","","","","","110110","25","약국","20000612","02-737-4855","198204.37291700000  ","452259.78051300000  ","영업중"
"27","믿음약국","서울특별시 종로구 창신동 303번지 명제빌딩 지하1층","서울특별시 종로구 종로 335-1 지하1층 (창신동 명제빌딩)","20080502","운영중","","","","","","110840","58","약국","20080502","02-745-6678","201293.31963300000  ","452608.26183300000  ","영업중"
"28","명륜시장약국","서울특별시 종로구 명륜동1가 16-31","서울특별시 종로구 성균관로 56-1 (명륜1가)","19990227","운영중","","","","","","","42","약국","19990227","02-747-3443","199716.58802300000  ","454237.29681000000  ","영업중"
"29","숭인다모아약국","서울특별시 종로구 숭인동 56-42외3필지","서울특별시 종로구 지봉로8길 54 (숭인동)","20010403","운영중","","","","","","","77","약국","20010403","02-765-5885","201389.73851000000  ","453021.08160300000  ","영업중"
"30","독일약국","서울특별시 종로구 창신동 525","서울특별시 종로구 종로 314 (창신동)","20031007","운영중","","","","","","","100","약국","20031007","02-764-5511","201114.93314300000  ","452484.95656000000  ","영업중"
"31","열린약국","서울특별시 종로구 종로4가 185번지 12층","서울특별시 종로구 종로 204 12층 (종로4가)","20030416","운영중","","","","","","110852","34","약국","20030416","02-2264-8210","200029.05381500000  ","452352.59724100000  ","영업중"
"32","늘푸른약국","서울특별시 종로구 평동 166번지 2층","서울특별시 종로구 새문안로 17 2층 (평동)","20051004","운영중","","","","","","110102","59","약국","20051004","02-734-9600","197145.87731200000  ","451990.17426600000  ","영업중"
"33","수도약국","서울특별시 종로구 관훈동 37","서울특별시 종로구 인사동길 40 (관훈동)","19840204","운영중","","","","","","","74","약국","19840204","02-732-3336","198687.16772200000  ","452722.15121200000  ","영업중"
"34","정성약국","서울특별시 종로구 숭인동 1051","서울특별시 종로구 종로 399 (숭인동)","19761119","운영중","","","","","","","25","약국","19761119","02-923-1363","201906.50480100000  ","452843.12429200000  ","영업중"
"35","정문약국","서울특별시 종로구 원남동 128-1 1층 2층","서울특별시 종로구 창경궁로 162-2 (원남동)","20000615","운영중","","","","","","","232","약국","20000615","02-765-7200","199795.55755000000  ","453038.13694100000  ","영업중"
"36","충신약국","서울특별시 종로구 충신동 27-36","서울특별시 종로구 율곡로 259 (충신동)","19800213","운영중","","","","","","","34","약국","19800213","02-762-9909","200600.05451500000  ","452720.96298000000  ","영업중"
"37","백화점약국","서울특별시 종로구 종로5가 214-1","서울특별시 종로구 종로 234-1 (종로5가)","19940719","운영중","","","","","","","320","약국","19940719","02-2264-1161","200330.89118300000  ","452357.76176000000  ","영업중"
"38","효성약국","서울특별시 종로구 창신2동 634","서울특별시 종로구 창신길 95 (창신동)","19920323","운영중","","","","","","","32","약국","19920323","02-763-4386","200910.31561700000  ","452923.78295500000  ","영업중"
"39","태약국","서울특별시 종로구 종로4가 3","서울특별시 종로구 종로 199-1 (종로4가)","19880713","운영중","","","","","","","19","약국","19880713","02-763-9414","199991.78546900000  ","452399.79014400000  ","영업중"
"40","캐슬온누리약국","서울특별시 종로구 숭인동 76 롯데캐슬 천지인상가 207호","서울특별시 종로구 종로 347 207호 (숭인동 롯데캐슬천지인상가)","20050218","운영중","","","","","","","50","약국","20050218","02-3672-0305","201451.00876700000  ","452723.58007600000  ","영업중"
"41","푸른온누리약국","서울특별시 종로구 평동 180","서울특별시 종로구 새문안로 19 (평동)","20040830","운영중","","","","","","","33","약국","20040830","02-720-0333","197164.13196600000  ","451988.95635700000  ","영업중"
"42","경일약국","서울특별시 종로구 평창동 300-1","서울특별시 종로구 평창문화로 35 (평창동)","19771110","운영중","","","","","","","18","약국","19771110","02-391-3469","196936.31126600000  ","456166.21387500000  ","영업중"
"43","은성약국","서울특별시 종로구 낙원동 62","서울특별시 종로구 삼일대로 434 (낙원동)","19761206","운영중","","","","","","","16","약국","19761206","02-765-4808","198951.75208000000  ","452645.35966600000  ","영업중"
"44","동시약국","서울특별시 종로구 종로4가 165번지 1호 동흥빌딩","서울특별시 종로구 종로 202-1 (종로4가 동흥빌딩)","19950120","운영중","","","","","","110853","55","약국","19950120","02-2268-4055","200019.66403800000  ","452342.75789400000  ","영업중"
"45","보성온누리약국","서울특별시 종로구 명륜1가 10-22","서울특별시 종로구 명륜길 22 (명륜1가)","19730210","운영중","","","","","","","55","약국","19730210","02-762-6654","199617.66576600000  ","454318.10971600000  ","영업중"
"46","영화약국","서울특별시 종로구 종로6가 215-56","서울특별시 종로구 종로41길 47 (종로6가)","19940126","운영중","","","","","","","22","약국","19940126","02-764-4868","200519.44935300000  ","452639.79844100000  ","영업중"
"47","한일약국","서울특별시 종로구 예지동 166-1","서울특별시 종로구 창경궁로11길 3 (예지동)","20030512","운영중","","","","","","","22","약국","20030512","02-2275-0024","199789.23918900000  ","452232.54754500000  ","영업중"
"48","푸른소나무약국","서울특별시 종로구 수송동 58번지 두산위브파빌리온 207호","서울특별시 종로구 삼봉로 81 207호 (수송동 두산위브파빌리온)","20081001","운영중","","","","","","110858","35","약국","20081001","02-2198-5333","198391.50917900000  ","452554.31829500000  ","영업중"
"49","종로약국","서울특별시 종로구 종로4가 8번지","서울특별시 종로구 종로 195 (종로4가)","20081211","운영중","","","","","","110853","45","약국","20081211","745-3184","199939.95756100000  ","452397.61386500000  ","영업중"
"50","새동서약국","서울특별시 종로구 종로5가 138번지 19호","서울특별시 종로구 동호로 403 19호 (종로5가)","20081231","운영중","","","","","","110836","54.81","약국","20081231","02-2285-1055","200146.87917200000  ","452328.61388800000  ","영업중"
"51","건강한세상약국","서울특별시 종로구 평동 178 123층지하1층","서울특별시 종로구 새문안로 21 (평동)","20010329","운영중","","","","","","","121","약국","20010329","02-733-7870","197170.15792400000  ","451996.31281200000  ","영업중"
"52","성진약국","서울특별시 종로구 혜화동 114-2","서울특별시 종로구 창경궁로 271-1 (혜화동)","19730208","운영중","","","","","","","61.46","약국","19730208","02-762-2211","200053.12104700000  ","454001.16404000000  ","영업중"
"53","대도약국","서울특별시 종로구 견지동 109번지 1층","서울특별시 종로구 우정국로 38-1 1층 (견지동)","19900516","운영중","","","","","","","27.71","약국","19900516","02-737-4510","198520.81338500000  ","452548.97907100000  ","영업중"
"54","현대온누리약국","서울특별시 종로구 계동 140번지 2호 지하1층","서울특별시 종로구 율곡로 75 지하1층 (계동)","20060925","운영중","","","","","","110270","19.24","약국","20060925","02-746-7750","198922.10674800000  ","453250.33326900000  ","영업중"
"55","신코아약국","서울특별시 종로구 관철동 12번지 13호 1층","서울특별시 종로구 종로12길 23 1층 (관철동)","20080731","운영중","","","","","","110111","16.5","약국","20080731","02-734-9020","198755.40225600000  ","452157.22783900000  ","영업중"
"56","청자약국","서울특별시 종로구 명륜동3가 1-119","서울특별시 종로구 명륜길 70 (명륜3가)","19701023","운영중","","","","","","","19","약국","19701023","02-762-4933","199456.72255300000  ","454472.47581000000  ","영업중"
"57","유성약국","서울특별시 종로구 종로5가182-4","서울특별시 종로구 동호로 408 (종로5가)","20011023","운영중","","","","","","","67","약국","20011023","02-2263-9666","200196.82752600000  ","452353.45188200000  ","영업중"
"58","보람약국","서울특별시 종로구 창신동 330-2","서울특별시 종로구 종로 326 (창신동)","19941021","운영중","","","","","","","46","약국","19941021","02-766-3366","201235.67406000000  ","452529.18730000000  ","영업중"
"59","녹십자약국","서울특별시 종로구 창신동 687-1","서울특별시 종로구 창신길 17 (창신동)","20060525","운영중","","","","","","","36","약국","20060525","02-765-2766","200938.24605100000  ","452548.19430600000  ","영업중"
"60","대성약국","서울특별시 종로구 창신동 436-79 동대문상가 가동 내제1층호","서울특별시 종로구 청계천로 291 가동 1층 (창신동 동대문상가)","20070326","운영중","","","","","","","17.1","약국","20070326","02-743-5800","200889.43626900000  ","452280.24025300000  ","영업중"
"61","대경약국","서울특별시 종로구 창신동 143-18","서울특별시 종로구 종로51나길 2 (창신동)","20061222","운영중","","","","","","","41","약국","20061222","02-744-2434","201085.95197100000  ","452569.12221500000  ","영업중"
"62","금왕약국","서울특별시 종로구 창신1동 131번지 8호","서울특별시 종로구 창신5길 19 (창신동)","19650112","운영중","","","","","","110840","28","약국","19650112","02-763-5493","201025.22480300000  ","452703.66779900000  ","영업중"
"63","연약국","서울특별시 종로구 종로3가 28-2 2층","서울특별시 종로구 종로 137 2층 (종로3가)","19821117","운영중","","","","","","","16.5","약국","19821117","02-743-0799","199362.86992500000  ","452355.28252500000  ","영업중"
"64","동아약국","서울특별시 종로구 종로4가 149-1","서울특별시 종로구 종로 192 (종로4가)","20020501","운영중","","","","","","","74","약국","20020501","02-2285-5702","199918.05720400000  ","452340.31290300000  ","영업중"
"65","광교약국","서울특별시 종로구 관철동 287","서울특별시 종로구 청계천로 49 (관철동)","19920319","운영중","","","","","","","16","약국","19920319","02-734-4690","198508.65038500000  ","452172.13877100000  ","영업중"
"66","소담약국","서울특별시 종로구 명륜동2가 143-9","서울특별시 종로구 성균관로 18 (명륜2가)","20060417","운영중","","","","","","","11.3","약국","20060417","02-765-2126","199791.67410300000  ","453872.18299800000  ","영업중"
"67","이약국","서울특별시 종로구 창신동 243","서울특별시 종로구 지봉로 43 (창신동)","19741222","운영중","","","","","","","25","약국","19741222","02-763-4197","201363.57638200000  ","452724.09359800000  ","영업중"
"68","세민약국","서울특별시 종로구 누하동 5 -2","서울특별시 종로구 자하문로7길 73 (누하동)","20030826","운영중","","","","","","","18","약국","20030826","02-739-8851","197243.01875200000  ","453426.09419600000  ","영업중"
"69","공생약국","서울특별시 종로구 종로5가 193번지 17호 1층","서울특별시 종로구 종로 228 1층 (종로5가)","20081229","운영중","","","","","","110836","95.2","약국","20081229","2273-7826","200271.48912600000  ","452351.01436200000  ","영업중"
"70","제신약국","서울특별시 종로구 종로6가 272번지 4호 동대문종합시장 D동","서울특별시 종로구 종로 266 D동 (종로6가 동대문종합시장)","20090302","운영중","","","","","","110126","20.46","약국","20090302","2279-7388","200727.97870100000  ","452351.69579700000  ","영업중"
"71","미소약국","서울특별시 종로구 종로3가 10번지 낙원빌딩403호","서울특별시 종로구 종로 115 403호 (종로3가 낙원빌딩)","20091007","운영중","","","","","","110123","34.78","약국","20091007","764-6024","199157.61574500000  ","452340.82397700000  ","영업중"
"72","사랑약국","서울특별시 종로구 구기동 110번지 1호 요진오피스텔쉐레이 1층 3호","서울특별시 종로구 진흥로 432 1층 3호 (구기동)","20091109","운영중","","","","","","110803","34.56","약국","20091109","379-5632","196166.32074900000  ","456512.83829700000  ","영업중"
"73","국화약국","서울특별시 종로구 평창동 331번지 쇼핑센타뉴본빌딩 1층","서울특별시 종로구 평창11길 3 1층 (평창동 쇼핑센타뉴본)","20091013","운영중","","","","","","110847","26.2","약국","20091013","395-9105","197055.98866500000  ","456271.37224600000  ","영업중"
"74","마이팜약국","서울특별시 종로구 무악동 68번지","서울특별시 종로구 통일로16길 2 (무악동)","20100128","운영중","","","","","","110814","132.23","약국","20100128","738-3044~5","196227.44596800000  ","452877.73930700000  ","영업중"
"75","인제약국","서울특별시 종로구 종로4가 153번지 1호","서울특별시 종로구 종로 194 (종로4가)","20100223","운영중","","","","","","110852","23","약국","20100223","2266-4312","199926.61525100000  ","452343.62304700000  ","영업중"
"76","튼튼약국","서울특별시 종로구 명륜2가 21번지 9호 1층","서울특별시 종로구 창경궁로34길 18-5 1층 (명륜2가)","20140311","운영중","","","","","","","38.9","약국","20140311","02-762-2323","200071.23374100000  ","453840.44075300000  ","영업중"
"77","종각3층다정약국","서울특별시 종로구 관철동 16번지 5호 3층","서울특별시 종로구 종로 70 3층 (관철동)","20140303","운영중","","","","","","110111","17.8","약국","20140303","02-732-2462","198689.82103100000  ","452263.51500800000  ","영업중"
"78","플러스약국","서울특별시 종로구 종로2가 75번지 9호 미려빌딩 1층","서울특별시 종로구 종로 78 1층 (종로2가 미려빌딩)","20140211","운영중","","","","","","110773","16.54","약국","20140211","02-733-4163","198766.85303800000  ","452259.99081900000  ","영업중"
"79","안국온누리약국","서울특별시 종로구 경운동 89번지 4호 운현궁에스케이허브 101동 203호","서울특별시 종로구 삼일대로 461 101동 203호 (경운동 운현궁에스케이허브)","20140213","운영중","","","","","","110776","35.25","약국","20140213","02-6283-8008","198748.18587200000  ","452928.81960600000  ","영업중"
"80","임자약국","서울특별시 종로구 효제동 126번지 2호","서울특별시 종로구 김상옥로 55 (효제동)","20140310","운영중","","","","","","110850","71.13","약국","20140310","02-742-1145","200342.79987800000  ","452682.62594100000  ","영업중"
"81","안국3층약국","서울특별시 종로구 안국동 163번지 305호","서울특별시 종로구 율곡로 47 305호 (안국동)","20140922","운영중","","","","","","110240","25.99","약국","20140922","02-735-8242","198638.43786500000  ","452976.68956400000  ","영업중"
"82","혜화수약국","서울특별시 종로구 명륜4가 54번지 1호 1층","서울특별시 종로구 대명길 29 1층 (명륜4가)","20140902","운영중","","","","","","110524","28.73","한약국","20140902","02-742-9414","199997.55646100000  ","453727.31051600000  ","영업중"
"83","혜화약국","서울특별시 종로구 혜화동 109번지 1호","서울특별시 종로구 혜화로 8 (혜화동)","20141230","운영중","","","","","","110530","69.5","약국","20141230","02-762-0373","200045.33302200000  ","454103.15848400000  ","영업중"
"84","바로약국","서울특별시 종로구 청진동 70번지 지하137호","서울특별시 종로구 종로 33 지하1층 137호 (청진동)","20141107","운영중","","","","","","110130","20.5","약국","20141107","02-2158-7900","198360.20267600000  ","452380.16935400000  ","영업중"
"85","남영약국","서울특별시 종로구 경운동 89번지 4호 운현궁SK허브 101동113114호","서울특별시 종로구 삼일대로 461 (경운동 운현궁SK허브)","20150102","운영중","","","","","","110776","41.34","약국","20150102","02-733-4774","198748.18587200000  ","452928.81960600000  ","영업중"
"86","인앤아웃약국","서울특별시 종로구 종로1가 421호","서울특별시 종로구 종로 19 421호 (종로1가)","20150209","운영중","","","","","","110888","34.17","약국","20150209","02-2075-7505","198226.41891500000  ","452367.18397000000  ","영업중"
"87","예당한약국","서울특별시 종로구 혜화동 87번지 5호","서울특별시 종로구 창경궁로 283-1 3층 (혜화동)","20150223","운영중","","","","","","110530","50.29","한약국","20150223","02-412-3603","200141.51223800000  ","454092.59418600000  ","영업중"
"88","행복약국","서울특별시 중구 묵정동 24번지 19호","서울특별시 중구 퇴계로50길 33 (묵정동)","20030820","운영중","","","","","","100380","26.23","약국","20030820","02-2263-4312","200102.25692200000  ","451299.00203800000  ","영업중"
"89","서현온누리약국","서울특별시 중구 남창동 9번지 15호","서울특별시 중구 퇴계로 61 (남창동)","20030828","운영중","","","","","","100804","7.65","약국","20030828","02-776-5830","198137.15007100000  ","451093.49673000000  ","영업중"
"90","명동사랑약국","서울특별시 중구 충무로1가 24번지 31호 1층 102호","서울특별시 중구 퇴계로 109 (충무로1가1층 102호)","20031125","운영중","","","","","","100011","20.12","약국","20031125","02-2124-1612","198574.24007900000  ","451269.06948500000  ","영업중"
"91","센츄럴팜약국","서울특별시 중구 봉래동2가 122번지 11호","서울특별시 중구 한강대로 405 2층 (봉래동2가)","20040527","운영중","","","","","","100162","66.96","약국","20040527","02-393-5505","197491.77374100000  ","450711.58981800000  ","영업중"
"92","연세약국","서울특별시 중구 남대문로5가 84번지 11호","서울특별시 중구 통일로 10 (남대문로5가 연세빌딩)","20040531","운영중","","","","","","100753","18.75","약국","20040531","02-2259-0488","197670.34093800000  ","450841.46040700000  ","영업중"
"93","수연약국","서울특별시 중구 태평로2가 340번지 6호 대한일보빌딩 101호","서울특별시 중구 서소문로 138 101호 (태평로2가 대한일보빌딩)","20040607","운영중","","","","","","100865","18.37","약국","20040607","02-777-1578","197906.28943800000  ","451569.10962200000  ","영업중"
"94","소망약국","서울특별시 중구 신당동 145번지 3호","서울특별시 중구 퇴계로88길 42 (신당동)","20040616","운영중","","","","","","100819","24.7","약국","20040616","02-2253-2355","201789.03913800000  ","451583.58639800000  ","영업중"
"95","에이스약국","서울특별시 중구 무교동 97번지","서울특별시 중구 세종대로 136 1층 (무교동 파이낸스빌딩)","20040812","운영중","","","","","","","58.06","약국","20040812","02-779-7697","198079.08421800000  ","452098.47556200000  ","영업중"
"96","보생당약국","서울특별시 중구 필동1가 40번지 1호 동화빌딩","서울특별시 중구 퇴계로 189 동화빌딩 (필동1가)","20041214","운영중","","","","","","","33","약국","20041214","02-2267-8830","199378.16656600000  ","451323.58973400000  ","영업중"
"97","유네스코약국","서울특별시 중구 명동2가 50-14 유네스코빌딩402호","서울특별시 중구 명동길 26 402호 (명동2가 유네스코빌딩 )","20050725","운영중","","","","","","100022","14.49","약국","20050725","02-778-7880","198565.63833800000  ","451547.23125300000  ","영업중"
"98","하나약국","서울특별시 중구 무교동 1번지 효령빌딩","서울특별시 중구 무교로 32 4층 (무교동 효령빌딩)","20050822","운영중","","","","","","100170","27.9","약국","20050822","02-755-5155","198194.40769700000  ","452136.49184300000  ","영업중"
"99","푸른약국","서울특별시 중구 충무로2가 66번지 13호","서울특별시 중구 명동8길 47 (충무로2가)","20050912","운영중","","","","","","100861","15.58","약국","20050912","02-775-7428","198680.56012800000  ","451348.09108000000  ","영업중"
"100","새금성약국","서울특별시 중구 오장동 139번지 16호","서울특별시 중구 동호로33길 5 (오장동)","20060217","운영중","","","","","","100310","35.73","약국","20060217","02-2266-1038","200166.64136100000  ","451762.04271300000  ","영업중"
"101","하늘약국","서울특별시 중구 무학동 11번지 1호","서울특별시 중구 다산로 245 (무학동)","20060417","운영중","","","","","","100420","41.25","약국","20060417","02-2237-3530","201403.38082400000  ","451720.95199800000  ","영업중"
"102","명동약국","서울특별시 중구 충무로2가 65번지 9호","서울특별시 중구 퇴계로 123 8층 (충무로2가)","20060630","운영중","","","","","","100861","27.52","약국","20060630","02-2079-0825","198706.90965100000  ","451303.97012100000  ","영업중"
"103","연합약국","서울특별시 중구 남산동1가 1번지 2호","서울특별시 중구 퇴계로 120 1층 (남산동1가)","20070115","운영중","","","","","","100041","24.48","약국","20070115","02-778-3465","198681.74483500000  ","451227.68435300000  ","영업중"
"104","남산우리약국","서울특별시 중구 회현동1가 208번지 남산롯데캐슬 아이리스 상가 102호","서울특별시 중구 소공로 35 102호 (회현동1가 남산롯데캐슬아이리스상가 102호)","20070517","운영중","","","","","","100873","27.62","약국","20070517","02-3789-7582","198446.54678000000  ","450982.40986600000  ","영업중"
"105","그린약국","서울특별시 중구 순화동 53번지 아이엔지센터","서울특별시 중구 세종대로7길 37 지하1층 (순화동)","20070525","운영중","","","","","","100883","23","약국","20070525","02-755-7525","197569.38867100000  ","451247.10553000000  ","영업중"
"106","신우리약국","서울특별시 중구 저동2가 84번지 4호","서울특별시 중구 마른내로 13 (저동2가)","20070621","운영중","","","","","","100032","31.34","약국","20070621","02-2267-1570","199058.85773100000  ","451705.72608200000  ","영업중"
"107","예솔약국","서울특별시 중구 중림동 355번지 브라운스톤서울 103동 207호","서울특별시 중구 청파로 464 103동 207호 (중림동 브라운스톤서울)","20070705","운영중","","","","","","100717","23.4","약국","20070705","02-365-3652","197192.66755500000  ","451254.72063900000  ","영업중"
"108","메디칼하나약국","서울특별시 중구 신당동 369번지 22호","서울특별시 중구 다산로 134 (신당동)","20070711","운영중","","","","","","100841","37.38","약국","20070711","02-2252-2501","201009.08552100000  ","450684.37367400000  ","영업중"
"109","필약국","서울특별시 중구  19번지 11호 대평빌딩 103호","서울특별시 중구 필동로 14 103호 (필동2가 대평빌딩)","20070824","운영중","","","","","","100272","16.8","약국","20070824","02-2268-7552","199636.97661300000  ","451208.45071600000  ","영업중"
"110","한마음약국","서울특별시 중구 저동2가 88번지 10호","서울특별시 중구 마른내로 10 (저동2가)","20070913","운영중","","","","","","100032","29.87","약국","20070913","02-2271-2861","199017.54549200000  ","451665.99046800000  ","영업중"
"111","새삼성약국","서울특별시 중구 남대문로4가 3번지 1호","서울특별시 중구 남대문로 16-1 (남대문로4가)","20080416","운영중","","","","","","100094","29.7","약국","20080416","02-756-3301","198022.14372600000  ","451248.24998000000  ","영업중"
"112","명동중앙약국","서울특별시 중구 충무로1가 25번지 9호","서울특별시 중구 명동8나길 49 (충무로1가)","20080425","운영중","","","","","","100011","34.15","약국","20080425","02-777-0505","198423.94342700000  ","451283.04598800000  ","영업중"
"113","비타민약국","서울특별시 중구 초동 17번지 1호 2층","서울특별시 중구 충무로 48 2층 (초동)","20080516","운영중","","","","","","100300","20.59","약국","20080516","02-2279-0720","199378.18550600000  ","451760.06975700000  ","영업중"
"114","금오약국","서울특별시 중구 남창동 9번지 15호 금오빌딩 3층","서울특별시 중구 퇴계로 61 3층 (남창동 금오빌딩)","20080526","운영중","","","","","","100804","37.39","약국","20080526","02-318-9031","198137.15007100000  ","451093.49673000000  ","영업중"
"115","명동천사약국","서울특별시 중구 명동2가 87번지 1호 5층","서울특별시 중구 남대문로 68 3층 (명동2가)","20080715","운영중","","","","","","","12.3","약국","20080715","02-755-1005","198433.01232700000  ","451508.68908400000  ","영업중"
"145","방약국","서울특별시 중구 을지로4가 158번지","서울특별시 중구 을지로33길 2 (을지로4가)","19871201","운영중","","","","","","100848","28.8","약국","19871201","02-2279-6433","200037.32525000000  ","451940.03637600000  ","영업중"
"116","새평화약국","서울특별시 중구 남대문로4가 45번지 상공회의소 지1층","서울특별시 중구 세종대로 39 지하1층 (남대문로4가 서울상공회의소)","20080806","운영중","","","","","","100743","19.53","약국","20080806","02-6050-0093","197682.97070100000  ","451242.90593700000  ","영업중"
"117","새재약국","서울특별시 중구 장충동2가 161번지 15호","서울특별시 중구 장충단로7길 41 (장충동2가)","19640406","운영중","","","","","","100855","22.25","약국","19640406","02-2272-5953","200366.80292300000  ","451430.82422600000  ","영업중"
